Country	Longitude	Latitude	Number	Color
SY	109.6807945	18.27040352	3	1120071664
BH	109.1590941	21.55293944	3	1210257636
ZH	113.6442374	22.43845252	3	1138455830
ST	116.7255591	23.32790454	2	1096200374
XM	118.066957	24.55815055	1	1149474546
WZ	121.0197392	27.85493975	10	1288452186
NB	122.0301193	29.82061002	13	1157819498
YC	120.9748363	32.82356196	7	1135212822
LYG	119.2052329	34.89410646	5	1138417006
QD	120.7538438	36.45812023	4	4759367908
DY	119.164238	37.79432153	3	1145899826
DD	123.6935985	39.81195629	7	1068485476
