Sample	Temp	Month	Number
2020/8/1	27	Aug	3
2020/8/2	27	Aug	3
2020/8/3	28	Aug	3
2020/8/4	28	Aug	3
2020/8/5	28	Aug	3
2020/8/6	28	Aug	3
2020/8/7	26	Aug	3
2020/8/8	27	Aug	3
2020/8/9	28	Aug	3
2020/8/10	29	Aug	3
2020/8/11	29	Aug	3
2020/8/12	29	Aug	3
2020/8/13	29	Aug	3
2020/8/14	29	Aug	3
2020/8/15	30	Aug	3
2020/8/16	30	Aug	3
2020/8/17	31	Aug	3
2020/8/18	30	Aug	3
2020/8/19	30	Aug	3
2020/8/20	28	Aug	3
2020/8/21	25	Aug	3
2020/8/22	27	Aug	3
2020/8/23	28	Aug	3
2020/8/24	28	Aug	3
2020/8/25	28	Aug	3
2020/8/26	27	Aug	3
2020/8/27	27	Aug	3
2020/8/28	28	Aug	3
2020/8/29	28	Aug	3
2020/8/30	28	Aug	3
2020/8/31	28	Aug	3
2020/10/1	23	Oct	3
2020/10/2	23	Oct	3
2020/10/3	21	Oct	3
2020/10/4	18	Oct	3
2020/10/5	20	Oct	3
2020/10/6	19	Oct	3
2020/10/7	21	Oct	3
2020/10/8	22	Oct	3
2020/10/9	22	Oct	3
2020/10/10	21	Oct	3
2020/10/11	21	Oct	3
2020/10/12	21	Oct	3
2020/10/13	18	Oct	3
2020/10/14	16	Oct	3
2020/10/15	18	Oct	3
2020/10/16	18	Oct	3
2020/10/17	18	Oct	3
2020/10/18	19	Oct	3
2020/10/19	20	Oct	3
2020/10/20	20	Oct	3
2020/10/21	21	Oct	3
2020/10/22	17	Oct	3
2020/10/23	15	Oct	3
2020/10/24	16	Oct	3
2020/10/25	18	Oct	3
2020/10/26	19	Oct	3
2020/10/27	22	Oct	3
2020/10/28	19	Oct	3
2020/10/29	17	Oct	3
2020/10/30	18	Oct	3
2020/10/31	18	Oct	3
2020/12/1	5	Dec	5
2020/12/2	6	Dec	5
2020/12/3	5	Dec	5
2020/12/3	5	Dec	5
2020/12/4	5	Dec	5
2020/12/5	6	Dec	5
2020/12/6	8	Dec	5
2020/12/7	8	Dec	5
2020/12/8	3	Dec	5
2020/12/9	8	Dec	5
2020/12/10	8	Dec	5
2020/12/11	8	Dec	5
2020/12/12	9	Dec	5
2020/12/13	3	Dec	5
2020/12/14	0	Dec	5
2020/12/15	2	Dec	5
2020/12/16	3	Dec	5
2020/12/17	5	Dec	5
2020/12/18	4	Dec	5
2020/12/19	2	Dec	5
2020/12/20	5	Dec	5
2020/12/21	5	Dec	5
2020/12/22	8	Dec	5
2020/12/23	9	Dec	5
2020/12/24	6	Dec	5
2020/12/25	6	Dec	5
2020/12/26	9	Dec	5
2020/12/27	9	Dec	5
2020/12/28	9	Dec	5
2020/12/29	-2	Dec	5
2020/12/30	-6	Dec	5
2020/12/31	-2	Dec	5
2021/2/1	8	Feb	3
2021/2/2	3	Feb	3
2021/2/3	6	Feb	3
2021/2/4	5	Feb	3
2021/2/5	8	Feb	3
2021/2/6	13	Feb	3
2021/2/7	8	Feb	3
2021/2/8	4	Feb	3
2021/2/9	6	Feb	3
2021/2/10	9	Feb	3
2021/2/11	9	Feb	3
2021/2/12	9	Feb	3
2021/2/13	10	Feb	3
2021/2/14	8	Feb	3
2021/2/15	3	Feb	3
2021/2/16	4	Feb	3
2021/2/17	-1	Feb	3
2021/2/18	6	Feb	3
2021/2/19	11	Feb	3
2021/2/20	14	Feb	3
2021/2/21	17	Feb	3
2021/2/22	11	Feb	3
2021/2/23	5	Feb	3
2021/2/24	4	Feb	3
2021/2/25	4	Feb	3
2021/2/26	9	Feb	3
2021/2/27	9	Feb	3
2021/2/28	8	Feb	3
2021/4/1	15	April	2
2021/4/2	13	April	2
2021/4/3	12	April	2
2021/4/4	15	April	2
2021/4/5	14	April	2
2021/4/6	16	April	2
2021/4/7	16	April	2
2021/4/8	16	April	2
2021/4/9	15	April	2
2021/4/10	14	April	2
2021/4/11	14	April	2
2021/4/12	18	April	2
2021/4/13	13	April	2
2021/4/14	14	April	2
2021/4/15	14	April	2
2021/4/16	17	April	2
2021/4/17	16	April	2
2021/4/18	17	April	2
2021/4/19	17	April	2
2021/4/20	16	April	2
2021/4/21	14	April	2
2021/4/22	14	April	2
2021/4/23	17	April	2
2021/4/24	15	April	2
2021/4/25	19	April	2
2021/4/26	15	April	2
2021/4/27	17	April	2
2021/4/28	21	April	2
2021/4/29	17	April	2
2021/4/30	16	April	2
2021/6/1	21	June	2
2021/6/2	22	June	2
2021/6/3	22	June	2
2021/6/4	24	June	2
2021/6/4	24	June	2
2021/6/4	24	June	2
2021/6/5	26	June	2
2021/6/6	27	June	2
2021/6/7	25	June	2
2021/6/8	26	June	2
2021/6/9	23	June	2
2021/6/10	22	June	2
2021/6/11	28	June	2
2021/6/12	23	June	2
2021/6/13	23	June	2
2021/6/14	22	June	2
2021/6/15	22	June	2
2021/6/16	25	June	2
2021/6/17	22	June	2
2021/6/18	28	June	2
2021/6/19	29	June	2
2021/6/20	32	June	2
2021/6/21	29	June	2
2021/6/22	32	June	2
2021/6/23	27	June	2
2021/6/24	23	June	2
2021/6/25	24	June	2
2021/6/26	24	June	2
2021/6/27	24	June	2
2021/6/28	25	June	2
2021/6/29	24	June	2
2021/6/30	25	June	2
