Sample	X	Y
C1_FDSW202534412-1r	0	0
E5_FDSW202534388-1r	5	0
E10_FDSW202534389-1r	10	0
E20_FDSW202534390-1r	20	0
E50_FDSW202534391-1r	50	0
E100_FDSW202534392-1r	100	0
E150_FDSW202534393-1r	200	0
N5_FDSW202534406-1r	0	5
N10_FDSW202534407-1r	0	10
N20_FDSW202534408-1r	0	20
N50_FDSW202534409-1r	0	50
N100_FDSW202534410-1r	0	100
N150_FDSW202534411-1r	0	200
S5_FDSW202534394-1r	0	-5
S10_FDSW202534395-1r	0	-10
S20_FDSW202534396-1r	0	-20
S50_FDSW202534397-1r	0	-50
S100_FDSW202534398-1r	0	-100
S150_FDSW202534399-1r	0	-200
W5_FDSW202534400-1r	-5	0
W10_FDSW202534401-1r	-10	0
W20_FDSW202534402-1r	-20	0
W50_FDSW202534403-1r	-50	0
W100_FDSW202534404-1r	-100	0
W150_FDSW202534405-1r	-200	0
