	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r
SD_QD_2023_07_80_normal_bin_18	0	0	0.903836457	0.994067786	0.823234976	0.821761089	0.799467224	0.900042812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_100_ultra_bin_1	0	1.068667576	0.95206192	0.856333274	0	0	1.067522131	0	0	0	0	0	0	0	0	0	0	0	0	1.245689505	0	0	0	1.220173592	0
SD_QD_2023_07_80_ultra_bin_7	0.993294388	0	0.842166761	0.920422182	0.85038152	0	0.934312112	0.900099502	1.15647203	0	0	0.946191211	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_100_ultra_bin_3	0	0	1.021989448	0	1.403237312	0	0	0	0	0	0	1.369877683	1.031914708	0.930492683	0	0	0	0	0	0	0	0	0	1.329340629	1.193877731
SD_QD_2023_07_40_ultra_bin_12	0	0	0.763115915	0	0	0	0	0.914610703	0.940174453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.027486741	4.084310231
GD_ZH_2021_05_15_bin_1	0	1.453763184	1.013508077	1.310731607	0	0	2.244082402	0	0	0	0	0	1.373393699	1.780653241	0.978674506	1.418265913	0	0	0.920188502	1.138708801	0	0	0	0	0
SD_QD_2023_07_80_normal_bin_13	1.013157298	1.415539243	1.228686377	1.568890868	1.14048301	1.283529495	1.609649273	1.131423769	1.706590102	0	0.958168829	1.348360014	1.210943295	1.208193413	1.125580293	0.961591915	0	1.117917012	0.934804123	1.210976179	0	0.942051367	0	1.165527071	0
SD_QD_2020_06_15_bin_11	0	1.873933615	3.270049561	1.486427769	0	0	0	0	0	1.107858349	0	0	0	1.876232836	1.185052851	3.56891602	4.158177201	1.994124764	1.434595648	1.277067785	0	1.478865167	0	1.834727306	0
SD_QD_2023_07_20_normal_bin_3	1.53035512	1.771948228	1.58664411	1.591668382	3.100261781	1.408512617	1.943508538	1.218014055	1.461214661	0	1.749547313	2.891144132	2.829303149	1.273764331	0	1.512638789	0	0	1.057003195	1.302491269	0	0	0	0	0
SD_QD_2020_06_15_bin_7	1.054686013	1.522525974	1.725810061	1.530583632	1.944302131	1.842800711	2.186673143	1.041603187	1.392163856	0	1.761468038	1.492480235	1.70101063	1.470040702	1.309829086	1.214086425	0	0	1.1407839	1.013877115	1.029606706	1.146382459	0	1.137041807	0
SD_QD_2023_07_100_ultra_bin_9	1.512675629	1.604586758	1.588619189	1.70651439	1.800141071	1.153481303	1.622969727	1.542607266	1.759649014	1.069602436	1.204568969	1.889210873	1.697799536	1.308421598	1.020493556	1.368288058	1.061715716	1.109987577	1.193142366	1.440519609	1.10589815	1.053749029	0	1.280049126	0
SD_QD_2020_06_15_bin_6	1.436914307	1.13436298	1.025745446	1.060135493	2.164477955	1.665938906	0.800863163	1.329274231	1.284290674	0	1.849826982	2.568902802	1.346456045	1.264656675	1.228494052	1.782836527	2.85721836	4.723338053	2.626954018	1.356525521	1.119392414	1.85853152	2.343991851	1.624279252	2.340270226
SD_QD_2023_07_40_ultra_bin_16	1.468433341	1.54725568	2.005005042	1.719474039	3.876038021	1.504326098	1.54656121	1.420111282	1.466690371	1.237449363	2.650922845	4.274311749	3.34281702	1.944888305	1.065365153	2.132279253	1.123532974	1.303841135	2.20392892	1.530088308	1.350956966	1.37665968	1.056855406	1.40146323	1.284044679
SD_QD_2023_07_60_normal_bin_5	2.019428228	2.271690289	2.725639153	2.310372222	0.982274719	1.013934958	1.903864662	2.737841796	2.545365774	1.301983572	1.010483464	1.11325496	1.459623538	2.462002669	1.829569241	1.978382372	1.596068154	1.591579822	1.68864064	2.507370612	1.58642443	2.025014321	1.601901292	3.016597201	2.372887803
SD_QD_2020_06_15_bin_4	1.568060941	2.555956291	3.073669028	1.777441995	3.211408398	1.425597783	1.158035553	1.221133231	1.846107804	1.155780348	1.493257126	4.170400548	5.750903327	2.703800305	1.410865803	2.774816431	0	1.024638943	1.637284696	1.646374061	1.931954573	2.032209344	1.443094987	1.463090305	0
SD_QD_2020_06_15_bin_14	1.782182035	1.789578617	2.377777451	2.033185631	3.303909638	3.654738824	2.796411601	1.540849296	2.27121024	1.270556073	3.629936499	4.265372136	2.675750917	1.907175993	1.381354554	1.49699401	1.012276817	1.022677183	1.77661631	1.570091536	1.282536883	1.401532112	1.158578264	1.090402277	0
