	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r
GD_ZH_2021_05_15_bin_2	0	0	0.772730239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_08_15_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.316000821	0	0	0	0	0	0	0	0	3.334552437
SD_QD_2023_07_60_ultra_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.269873905	0	0	0	1.155080892	0	0.994685461	1.250978358
SD_QD_2023_07_80_normal_bin_3	0	0.895509717	0.882482172	0	0	0	0	1.537164063	0	0	0	0.991466036	1.352011695	0	0	1.098990578	1.174306378	1.441031822	1.101244853	1.014171308	0	1.832831069	1.220041917	2.171832048	1.742257773
SD_QD_2020_06_15_bin_1	0.972678808	1.64811717	2.057508365	0.973870036	0.817456805	0	0	0.93505772	0	0	0	1.1672039	1.999729362	1.586126564	0.859027381	1.627767526	0.949880456	1.443645384	1.694977244	0	1.428303251	1.307159451	0.993197665	0	0
SD_QD_2020_10_15_bin_7	1.175406926	1.300467943	1.018086067	0	0.924589234	0	0	1.665753281	0	0	0	1.803896036	2.470361893	0	0	1.541752052	1.638336598	2.36450756	2.279792188	1.061839772	1.124430666	2.039299918	2.237974445	1.187312834	1.6932074
SD_QD_2020_10_15_bin_4	1.570346684	1.17323242	0.893213913	0	0	0	0	2.433213308	0	0	0	0	0	0	0	1.761852557	2.257287476	3.597191546	1.506381249	1.279157391	1.310850323	2.897539274	2.091967618	2.809564819	3.645963068
SD_QD_2020_12_15_bin_7	1.920026407	1.28297565	1.619929397	0	0	0	0	1.874708569	1.077909855	1.147758425	0	0.986267144	2.008437628	1.013528335	0.930669818	1.845997218	2.230617973	3.064796752	2.491852451	1.490013432	1.170849898	3.080761057	2.405479712	2.26712517	2.553526054
SD_QD_2023_07_80_ultra_bin_11	1.460886616	1.773831926	2.312521408	1.28871883	0	0	0	1.767315926	1.655398046	1.174293583	0	0.95039567	2.12988634	1.625569436	1.344160454	2.073688541	1.517153911	2.379282184	2.081442306	1.248695005	1.662008457	2.53960363	1.969730483	2.652368022	1.569523971
SD_QD_2023_07_80_normal_bin_5	2.560126336	2.217986728	3.590731257	2.551081353	0	0	0.820919894	2.520608429	3.388307261	1.372498494	0	1.074383125	2.332726282	1.767574757	1.907694923	1.78368085	1.220912951	1.270595408	2.106426068	2.067732845	2.391002786	2.300783253	2.002215077	2.935979197	1.252568045
SD_QD_2020_12_15_bin_3	1.930391995	1.975880946	1.959065839	1.009022872	0	0	0	3.163729255	1.625198352	0	0	1.104029183	1.907529423	0.918387168	1.823528692	2.012645075	3.132852722	3.884064682	3.09040475	1.962708879	1.748548396	3.751373657	2.619154894	4.218555894	4.271504494
SD_QD_2020_06_15_bin_46	2.776794987	4.733001457	6.120662843	4.415259034	0	0	1.823114596	2.615209104	4.323830286	1.056618668	0	0	4.384976715	3.278363608	2.576999122	2.869793125	1.648440397	1.077535192	1.402520916	2.608822407	2.61573593	2.336798015	2.056468639	1.763348486	0
SD_QD_2023_07_40_normal_bin_12	2.114092251	2.465685253	2.449898727	1.690754705	1.950782364	0.889924987	1.014874414	3.064673785	1.907108034	1.318830758	0.99328321	2.148026792	2.580623656	1.710532549	1.481512104	2.785903044	1.992443153	3.040986075	3.997065096	2.542548704	2.428986803	2.488425235	2.346543166	3.996817166	3.108833348
SD_QD_2023_07_60_ultra_bin_3	2.634084096	2.907764711	2.83662131	2.76324821	1.413056154	1.347225683	1.555545826	2.380402051	2.91515937	3.191240851	1.387342207	1.698437311	2.454643725	2.18800955	2.914347507	2.634638604	2.013886101	2.294060839	2.322490103	2.344017244	2.223644338	2.768302708	1.686163809	2.17666086	2.083703123
SD_QD_2020_06_15_bin_42	1.477132466	1.181928958	1.302677418	0	1.135865694	0	0	1.611193385	1.129575584	0	0	1.82533991	3.0983798	0	1.035846272	2.391323213	4.825996604	11.45105208	4.133899446	1.066275317	1.700201871	6.82535337	4.78114815	2.28847374	4.086010628
SD_QD_2023_07_20_normal_bin_4	2.603573245	2.913001311	3.468593916	1.780403854	1.618994887	1.169398879	0	2.470309364	2.971344882	2.864734851	1.051641411	1.927867485	2.523216819	2.119566612	1.749402145	2.517311767	2.110047738	2.960266144	6.6950261	1.97845144	2.060207805	2.148722348	2.328903541	2.241539222	1.211005323
