distv_num,dist_loca_num,Tax
-0.082574563,0.698970004,Nucleocytoviricota
-0.086189189,1,Nucleocytoviricota
-0.066653378,1.301029996,Nucleocytoviricota
-0.26185883,1.698970004,Nucleocytoviricota
-0.156640448,2,Nucleocytoviricota
-0.131793058,2.301029996,Nucleocytoviricota
-0.040124692,0.698970004,Nucleocytoviricota
-0.077576064,1,Nucleocytoviricota
-0.108123737,1.301029996,Nucleocytoviricota
-0.223247641,1.698970004,Nucleocytoviricota
-0.251136958,2,Nucleocytoviricota
-0.211500674,2.301029996,Nucleocytoviricota
-0.102352374,0.698970004,Nucleocytoviricota
-0.080097914,1,Nucleocytoviricota
-0.112188608,1.301029996,Nucleocytoviricota
-0.134720807,1.698970004,Nucleocytoviricota
-0.121078351,2,Nucleocytoviricota
-0.08700462,2.301029996,Nucleocytoviricota
-0.062402172,0.698970004,Nucleocytoviricota
-0.078907127,1,Nucleocytoviricota
-0.086891444,1.301029996,Nucleocytoviricota
-0.122223487,1.698970004,Nucleocytoviricota
-0.09137518,2,Nucleocytoviricota
-0.223704276,2.301029996,Nucleocytoviricota
-0.041917763,0.698970004,Nucleocytoviricota
-0.049453753,1.176091259,Nucleocytoviricota
-0.222879484,1.653212514,Nucleocytoviricota
-0.12940929,1.977723605,Nucleocytoviricota
-0.074055389,2.290034611,Nucleocytoviricota
-0.087773145,0.849485002,Nucleocytoviricota
-0.110731105,1.048455007,Nucleocytoviricota
-0.147756112,1.314194465,Nucleocytoviricota
-0.188184621,1.701130691,Nucleocytoviricota
-0.211804386,2.000542191,Nucleocytoviricota
-0.146253846,2.30116567,Nucleocytoviricota
-0.033170394,0.849485002,Nucleocytoviricota
-0.085302161,1.048455007,Nucleocytoviricota
-0.062593236,1.314194465,Nucleocytoviricota
-0.173737047,1.701130691,Nucleocytoviricota
-0.168833978,2.000542191,Nucleocytoviricota
-0.102223026,2.30116567,Nucleocytoviricota
-0.037067251,1,Nucleocytoviricota
-0.079186122,1.176091259,Nucleocytoviricota
-0.096080801,1.397940009,Nucleocytoviricota
-0.160587606,1.740362689,Nucleocytoviricota
-0.119606149,2.021189299,Nucleocytoviricota
-0.293647684,2.311753861,Nucleocytoviricota
-0.047411279,1,Nucleocytoviricota
-0.215103026,1.602059991,Nucleocytoviricota
-0.139070808,1.954242509,Nucleocytoviricota
-0.086279176,2.278753601,Nucleocytoviricota
-0.087636589,1.048455007,Nucleocytoviricota
-0.101190539,1.150514998,Nucleocytoviricota
-0.173140091,1.349485002,Nucleocytoviricota
-0.200626723,1.707486674,Nucleocytoviricota
-0.205943831,2.002160687,Nucleocytoviricota
-0.150929866,2.301572186,Nucleocytoviricota
-0.049050892,1.048455007,Nucleocytoviricota
-0.112846188,1.150514998,Nucleocytoviricota
-0.077577321,1.349485002,Nucleocytoviricota
-0.189422445,1.707486674,Nucleocytoviricota
-0.194151962,2.002160687,Nucleocytoviricota
-0.127994112,2.301572186,Nucleocytoviricota
-0.053923723,1.176091259,Nucleocytoviricota
-0.105609866,1.301029996,Nucleocytoviricota
-0.123122635,1.477121255,Nucleocytoviricota
-0.192322923,1.77815125,Nucleocytoviricota
-0.122916861,2.041392685,Nucleocytoviricota
-0.301082535,2.322219295,Nucleocytoviricota
-0.250658745,1.477121255,Nucleocytoviricota
-0.157339415,1.903089987,Nucleocytoviricota
-0.088017424,2.255272505,Nucleocytoviricota
-0.075583663,1.314194465,Nucleocytoviricota
-0.075502176,1.349485002,Nucleocytoviricota
-0.149784703,1.451544993,Nucleocytoviricota
-0.224710351,1.731198999,Nucleocytoviricota
-0.238999689,2.00851667,Nucleocytoviricota
-0.185870834,2.303190683,Nucleocytoviricota
-0.071759823,1.314194465,Nucleocytoviricota
-0.094101182,1.349485002,Nucleocytoviricota
