	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
ZJ_NB_2021_05_15_bin_2	0	0	0	0	0	0	1.487279582	0	0	0	0	1.666309185	0	0	0	0	0	1.793809596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_60_normal_bin_21	0	0	0	0.836953742	0	0	0	0	0	0	0	1.273165564	0	0	0	1.004373692	1.121957077	0	0	0	0	0	0	0	0	0	0	0	0	3.394383588	0	0	0	0	0	0
SD_QD_2020_06_15_bin_46	0	0	0	0	0	0	0	0.790656375	0	0	0	1.624130382	0	0	1.029889858	3.488094261	1.984306604	0	0	0	0	0	0	0	0	0	0	0	1.437968838	2.132822958	0	0	0	0	0	0
SD_QD_2020_06_15_bin_1	0	0	0	0	0	0	0.993693461	1.007041542	0	0	0	1.444054294	1.557392458	0	0	1.968963364	1.644630973	1.561895308	0	0	0	0	0	0	0	0	0	0	2.518997977	2.076072477	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_5	0	0	0	0	0	0	1.600565717	1.009313498	0	1.102838106	1.593951195	0.878470144	1.669455302	0	0	1.332816197	1.616741275	0	1.031759353	2.095133455	1.414169158	1.641418113	1.305233869	2.20008563	0	0	0	0	0.986523557	1.233371582	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_2	0	1.048929247	0	0	0	0	0	1.011985226	0	1.490563776	1.572169884	0.900854912	1.77723703	0	0	2.101752671	1.971506617	1.077869727	0.988009925	1.975808516	1.694745705	1.185768015	1.262630691	2.177409012	0	0	0	0	1.257727691	1.942165948	0	0	0	0	0	0
SD_QD_2020_06_15_bin_42	0	0	0	0	0	0	0	0	0	0	0	4.702957198	0	0	0	1.445576606	2.11572569	1.669882515	0	0	0	0	0	0	0	0	0	4.20271847	4.998533165	3.7433436	0	0	1.245341658	0	0	1.375281815
SD_QD_2023_07_80_ultra_bin_11	0	0	1.493479603	2.141300186	1.146320346	0	0	1.211351723	0	1.263714567	2.464731543	2.183492699	1.382612067	0	0	2.525669985	3.119076888	2.072891617	0	0	0.96795416	0	0	1.727592725	0	1.053630394	0	1.624849085	3.992914666	3.283318998	0.955863937	0	0	0	0	0
SD_QD_2020_06_15_bin_27	0	0	0	0	0	0	0	0	0	0	1.300892844	0.916920245	0	0	0.991282513	3.35127972	1.600212332	0	1.160466165	2.697212483	1.281813805	0	0.887223231	1.30164972	0	0	0	1.204349522	2.773653631	5.382936962	3.003696542	0	4.397382615	2.966155136	2.739574043	3.131569255
SD_QD_2023_07_80_normal_bin_5	0	1.592298296	0	0	0	0.909675091	1.982396034	1.76109468	0.969832949	1.201285163	1.973209535	2.135747229	2.736993622	2.294924502	1.117545021	2.915561227	2.43173439	1.66188207	2.032809429	1.518062278	1.224417765	0.997779769	1.085634457	1.448687683	0	0	0	1.392149574	2.896034046	3.513162809	0.960002343	0	1.890662359	1.558336365	1.233361961	1.047971109
