	A1-20-normal	A3-20-normal	A5-20-normal	B1-20-normal	B3-20-normal	B5-20-normal	C1-20-normal	C3-20-normal	C5-20-normal	A1-40-normal	A3-40-normal	A5-40-normal	B1-40-normal	B3-40-normal	B5-40-normal	C1-40-normal	C3-40-normal	C5-40-normal	A1-60-normal	A3-60-normal	A5-60-normal	B1-60-normal	B3-60-normal	B5-60-normal	C1-60-normal	C3-60-normal	C5-60-normal	A1-80-normal	A3-80-normal	A5-80-normal	B1-80-normal	B3-80-normal	B5-80-normal	C1-80-normal	C3-80-normal	C5-80-normal	A1-100-normal	A3-100-normal	A5-100-normal	B1-100-normal	B3-100-normal	B5-100-normal	C1-100-normal	C3-100-normal	C5-100-normal
SD_QD_2020_06_15_bin_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.445424631	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_23	0	0	0	0.766620714	0	0	0	0	0.863069327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.125803223	0	0.977217126	0	0
SD_QD_2020_06_15_bin_6	0	0	0	0.811535483	1.111698682	1.256367482	0	0	0	0	0	0	0	0.998043322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_40	0	0	0	0.778749662	0.972885936	0	0	1.139051153	0	0	0	0	0.865356982	0	0	0	0	0	1.122769785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86524456	0	0	0	0
SD_QD_2020_06_15_bin_4	0	0	0	0	0	0.967729641	0	0	0	0	0	1.200878499	0	0	0	1.207411339	0	0	0	1.145346349	0	1.414983263	0	0	0	0	0	0	0	0	1.456512497	0	1.331729034	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_12_15_bin_6	1.46867175	0	1.010994641	1.212906581	1.54953654	1.291700225	0	0.915113188	1.367280285	0	0.87380255	0	0	1.037811034	0	0	0	0	0	0	0	0	0	1.246901575	0	0	1.445405042	0	0	0	0	0	0	0	0	0	0	0	0	1.091725855	0	0	0	0	0
LN_DD_2021_06_15_bin_10	0	1.019214711	0	1.125203002	1.417171909	2.398785929	1.115571085	1.351238811	0.858937635	0	0	1.504793034	0.918313027	1.301343103	0	1.49591529	0	0	0	0.81259874	0	1.135072584	0	0.876751397	0	0	0.972209525	0	0	0	1.701102825	0	2.300881114	0	0	0	0	0	0	1.044574233	0	0	0	0	0
HN_SY_2021_04_15_bin_4	0	0	0	0.679115763	0	0	0	0	0	0.954055723	0	1.295264347	0	1.422166448	1.048404192	1.768857993	0	0	0.98593834	1.513857029	1.450821354	1.269379292	0	0	0	0.948290569	0	1.636647639	2.25162672	0.909241316	0	2.20283394	2.229978445	3.414194743	1.764667686	0	1.625561751	1.386961674	0.977343768	0	0	0	0	0	0
SD_QD_2020_08_15_bin_3	4.087703085	1.037795471	0	0	1.749588898	2.747263571	0	0	0	6.927639472	2.544715222	0	0	0	0	0	0	0.884929102	2.100857832	0	0	0	0	1.785412123	0	0	1.768932882	2.146449894	0	0	0	0	0	0	0	0	6.753760509	0	0	0	0	0	0	0	0.887779587
SD_QD_2023_07_40_ultra_bin_16	0	1.016916057	1.026902826	0.838967842	1.180879655	2.14091077	1.362593415	1.105095541	0	0	0	1.566894561	1.206349933	1.97805943	1.68545229	1.944991325	1.513870843	0	1.227248406	1.505596464	1.209508347	1.984142108	1.016410306	0	0	1.647167023	1.193633317	0	1.506503394	0	3.076009907	1.305105784	2.374793711	0	1.332526974	0	0	0	0	0.935221238	0	0	0	0	0.807646605
SD_QD_2020_06_15_bin_41	0	1.4833717	0	0	0	1.933097262	0.966784593	0	0	0.884132304	0	1.338034504	0	1.556643549	2.222792434	2.333487486	2.035498085	1.186849251	1.071724378	1.556156504	1.028757667	2.152567778	0.88652159	0	1.362207998	1.659425917	1.261374168	0.960740206	1.692716653	0	2.827424973	1.103840745	1.743409759	1.12118285	1.602052643	0	0	1.471454582	0	0	0	0	0	0.968839677	0
