	A1-20-normal	A3-20-normal	A5-20-normal	B1-20-normal	B3-20-normal	B5-20-normal	C1-20-normal	C3-20-normal	C5-20-normal	A1-40-normal	A3-40-normal	A5-40-normal	B1-40-normal	B3-40-normal	B5-40-normal	C1-40-normal	C3-40-normal	C5-40-normal	A1-60-normal	A3-60-normal	A5-60-normal	B1-60-normal	B3-60-normal	B5-60-normal	C1-60-normal	C3-60-normal	C5-60-normal	A1-80-normal	A3-80-normal	A5-80-normal	B1-80-normal	B3-80-normal	B5-80-normal	C1-80-normal	C3-80-normal	C5-80-normal	A1-100-normal	A3-100-normal	A5-100-normal	B1-100-normal	B3-100-normal	B5-100-normal	C1-100-normal	C3-100-normal	C5-100-normal
ZJ_WZ_2021_05_15_bin_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.841836421	0	0	0	0	0	0	0	0	0	0	0	0.99182891	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_5	0	0	1.254140021	1.624047791	1.415213291	1.155470648	0	1.345848425	1.675812632	0	0	0.981671198	1.189490528	1.035490679	0	0	0.980284745	0	0	1.306308795	1.267218764	1.36251813	0.853327849	1.623856682	0	0	0.809247572	0	1.798696885	0	0	1.363944236	1.6516858	1.022491124	1.029677183	0	0	0	1.440189985	1.095154459	0	1.52861451	0	0	0.960032286
GD_ZH_2021_05_15_bin_2	0	0	0	1.315312737	0.965109482	1.303453072	1.037078698	0	0.995851906	0	0	1.74314259	1.257754181	1.794075198	1.428786941	1.704128462	1.041041318	0	0	1.929628736	2.180488183	2.01722214	1.023974433	0.992990285	0	1.163755052	1.133626651	0.972304363	2.697252901	0	1.740128834	2.740402109	2.851776073	1.331434155	1.766874019	0	1.26766157	0	1.053579759	0	0	1.840295713	0	0	0.97869227
ZJ_WZ_2021_05_15_bin_15	0	1.879434508	0.910566953	1.189250886	1.109029669	2.945993099	4.178706327	1.025791117	0.995488375	0.976985686	0	2.831100409	1.201872189	3.341678772	1.393497486	4.979946739	3.721392331	1.353759549	0	1.523628009	1.508860342	2.940543695	1.217267692	1.086790464	1.333338022	1.587206751	2.398833938	0	1.96376154	0	7.49003549	1.1937401	2.462448822	1.117275546	2.035944561	0	0	1.201011526	0	1.02185591	0	0	0	0	0.898937297
SD_QD_2020_12_15_bin_7	2.296761718	1.266617764	0	1.421866696	0.86145833	1.205231799	1.151606111	0	0	0	1.009931565	3.140581796	1.437107309	1.548147338	2.75609187	2.194836126	4.442867294	1.583934414	1.211948668	2.791466886	2.588129758	2.997282018	2.853298761	1.009098799	1.865170946	3.145606566	1.565430209	0.811614	3.03504507	0	2.092467632	2.273424233	2.655119591	0.93568975	2.985737366	0.879274358	0	1.865801673	0	1.754520585	0	0	0	1.422871621	0
SD_QD_2020_06_15_bin_8	0	1.363316768	1.545162634	1.686255637	1.038946621	1.852196357	2.095189847	1.386114812	1.240151417	0.915987279	0	1.743078643	1.605907991	2.386884747	1.684539659	3.443947774	2.217689131	0.907226622	1.211125311	2.744911137	1.559217817	3.053068682	2.003575707	1.098025467	1.514779659	2.218216483	1.57516455	0.791167994	2.44654567	1.165370507	5.496856147	2.136288797	2.44762066	1.797248889	1.932817038	0	1.210885505	1.105998644	0.989800869	0	0	1.195758592	0	0.902728916	1.194340679
SD_QD_2020_06_15_bin_28	0	2.308368518	0	0.839353833	0	2.285471227	3.895119613	0	0	0	0	2.816862256	1.367987891	3.65551265	2.294513747	5.475845131	3.582667204	2.34997765	1.062178287	2.464863361	2.684710923	3.044792742	2.573646063	0	2.735313726	3.194423009	2.888083957	0.987221205	3.288264079	1.27171205	9.628086509	2.249976881	3.43380012	1.389836347	3.495136268	1.855389868	1.339662286	2.856286365	0	0	0	1.308802371	0	1.878286244	1.047617841
SD_QD_2020_10_15_bin_7	0	1.347164851	0	0	0	1.165080661	0	0	0	0	0	2.705151043	1.757309486	1.174256805	3.084382856	2.973765566	4.483719191	1.761769258	2.947520548	3.358366581	7.277072157	5.165813584	6.545739045	0	3.698415133	4.719875009	2.069251488	2.842394915	6.167831936	1.645992952	1.721811008	6.595662531	4.399940447	1.786714127	5.751874062	2.274017202	1.380342152	3.146233885	1.989949432	0	0	1.348052028	0	2.414941374	1.128684404
SD_QD_2023_07_80_ultra_bin_11	0	1.176417351	0	0.697580554	0	1.311980474	1.113001585	0	0	0	0	3.600518984	2.163392456	2.100572831	4.578640531	3.525625951	3.293438184	2.46620419	1.221301971	5.948521425	4.969111102	6.280358595	5.049143735	0	4.739024489	8.01984554	2.068188521	0.944079246	5.40094322	3.377466551	3.140319303	6.651332053	5.135423131	2.511010569	6.686350186	2.259301199	1.258334623	3.300435713	0.926140877	0	0	2.615635212	0	1.324859937	2.192166217
SD_QD_2020_10_15_bin_4	0.906059432	2.768828479	0	1.847650923	0.97246462	1.764339451	1.814346899	1.292754892	0.893680269	0	1.440209027	6.26545893	2.420434843	1.853496855	3.47581557	4.271712615	10.21709894	2.241843072	0.921727817	3.681570467	3.629837451	8.491769489	5.331821014	1.36393185	5.193980606	5.011760428	2.576181252	0.882502173	5.445946091	1.606299102	3.128523564	3.316974993	2.865806153	2.143910686	3.880783039	1.664534291	0	3.977984106	0	1.255310639	0	1.116640715	3.636721266	2.411661329	1.376316424
SD_QD_2023_07_80_normal_bin_3	0	1.988098595	0	0.947931354	0	1.535594412	1.217115756	0	0	0	0.872888248	5.610691508	2.450475754	2.082681592	3.500572065	5.428070514	9.268048885	1.826797702	3.878196445	4.739035572	5.085273633	7.708540034	5.190107594	0	5.772729862	5.858313352	2.164579344	2.504791679	7.169962406	2.414108245	3.14362609	4.847285035	4.422820644	3.183376401	5.834035506	2.143934932	1.242219438	3.875289717	1.144040611	0	0	1.026135066	1.143067887	2.970379057	1.192098905
SD_QD_2020_06_15_bin_10	0.956682378	3.263893478	1.694142534	2.178594596	2.047873182	4.119400178	3.319247763	1.895204713	1.900097907	2.079418459	1.743669405	3.774804401	2.375451881	3.579465753	3.075892215	5.042366425	4.457414407	3.502764098	2.698260428	5.246886765	4.179435158	5.012674551	4.428485979	1.755003889	3.414422355	4.762698714	3.778656254	2.559431878	4.517891364	2.67535986	5.716850339	3.931794728	4.790794339	1.719459077	4.3049087	2.100301811	1.786980324	2.93964105	1.271020017	1.79146871	1.582631489	1.820106457	1.397787254	2.054952112	2.24810727
SD_QD_2020_06_15_bin_5	0	3.932880898	1.322702766	2.006544061	1.167984102	3.348475927	4.113159107	1.562833305	1.506441339	2.600467678	1.201716221	4.240965666	2.549775539	3.529787232	4.222948522	5.901028912	5.565204953	3.500191132	3.531018256	6.807422202	4.828691662	5.778311409	4.801308349	1.341417153	4.921040217	5.617559749	3.623964296	2.825114871	6.734960758	3.95840566	8.799321247	4.394464642	4.891524932	2.616604295	5.021020636	3.295492786	2.743103759	4.306558748	1.339006288	1.491445833	0.989266094	1.865150938	1.265274672	3.092317491	2.194973456
SD_QD_2020_08_15_bin_2	25.63603406	2.973860074	0	4.81759534	1.152706309	3.160972099	3.096533148	0	0	0	2.752168411	11.4544109	2.67745857	5.732895812	7.611790061	3.591485574	8.036149309	4.887462737	0	3.778716168	3.617637405	3.935573669	3.461669347	1.063362244	4.378476315	6.101622031	5.135410066	0	6.157316135	3.828000195	6.660683463	3.715461142	3.724454423	0	2.421962538	2.166692678	0	7.426049292	0	9.217391475	0	1.2190511	0	0.901368717	0.992995479
SD_QD_2023_07_80_normal_bin_5	1.063440347	3.879395763	1.301995098	2.433003785	1.756829354	4.108882946	4.925913152	1.962579624	1.810175731	2.503297644	1.886422599	4.923811568	2.99407049	4.655830675	5.823861324	7.164038783	6.181615376	4.809992681	2.772645252	6.490151477	4.737534148	6.201213294	6.102556862	2.029556681	5.353340329	6.995611655	5.120426674	2.300563368	6.953579659	4.099486115	10.12147968	5.718653146	6.443559544	3.432264395	6.66363427	4.06006109	2.133658999	4.414549675	1.332607113	2.550389448	1.55376162	2.895231672	2.142993074	3.650212927	3.16106213
SD_QD_2023_07_20_normal_bin_4	12.2430201	3.361691093	10.1920154	8.337364242	7.858838037	5.987601646	5.963087721	7.956850162	10.33493853	1.602876744	9.961517104	5.360482657	4.521326221	6.91679421	2.403563366	3.968013248	4.83642359	4.28539329	0	1.270369965	1.981402719	2.886441741	3.151292801	9.889826909	1.7030741	1.422359656	5.664825001	0	1.374333234	2.37695951	4.390098062	1.124025485	2.432790534	2.102579315	0.950049109	0.837119327	0	1.389220903	4.738126095	7.809176759	4.153970024	3.144298804	4.401114167	1.912559966	3.364440225
SD_QD_2020_12_15_bin_3	1.520931383	2.614269517	1.344826717	3.303098509	2.174581901	4.618499193	4.244108982	3.38928274	2.163893818	0.95238859	3.3564881	7.405789932	3.033530353	3.433438488	5.194180096	5.465637118	9.656966123	4.187032685	2.176349329	4.333465341	7.37044115	6.084941885	4.842828033	2.608605133	4.773906933	6.350240871	5.391392241	5.380888848	9.192381161	2.677951745	4.422795588	5.290408428	7.111266366	7.251597614	6.873837524	3.215104516	3.967940683	5.359186714	2.596695722	2.434899495	0.863097151	3.623764182	5.296317791	3.421081165	3.32577978
SD_QD_2023_07_60_ultra_bin_2	0	3.15837088	0	1.499725149	0	2.234704387	1.565186277	0.977424503	0	1.232751987	0.880802416	9.732825743	4.359892408	2.546239609	5.67397867	7.872300769	14.45723081	2.456991558	6.899292691	9.712911087	7.239926802	14.47786381	9.991585017	0	8.292024906	9.290724147	2.715430099	3.063394211	10.68581488	3.99474697	4.318910056	7.748823891	6.380972904	3.262628734	7.287461296	2.851066945	1.933792091	6.53710482	1.636378013	0.905740936	0	2.682510525	0.953803277	4.00228445	2.027791681
SD_QD_2023_07_60_ultra_bin_18	2.164970961	6.387001146	5.487688296	4.827824286	4.798446602	6.907150047	5.80458954	4.488037045	4.7567702	5.817581466	7.654486632	7.217745007	5.162205171	7.226312134	6.869085691	7.896875229	13.2458798	5.323588541	10.00474007	10.14858627	5.62849273	9.83593547	6.754794603	4.711602793	7.963115012	8.308567127	6.237296392	4.257861651	8.589842241	4.325117237	7.102300333	6.791540567	6.530483992	3.863540964	6.866868158	3.278794798	3.141676837	4.798797196	3.078604381	4.493758213	2.769817047	2.498172889	3.400531135	4.784424461	3.190045402
SD_QD_2023_07_60_ultra_bin_19	0	3.881493394	2.748050033	4.759648654	3.050354745	5.572191515	8.882457913	5.192576601	3.369689954	0	4.492481717	5.665994835	3.363008605	7.094524956	6.935433492	14.83737907	14.76151526	5.609785998	2.26937196	8.247670048	7.656099694	10.6555888	8.629113879	3.561503519	10.45771771	11.37114397	7.967268561	3.043306606	9.823722182	4.538592606	8.200505332	7.552977037	7.916159803	6.409669847	8.230177111	3.590737741	2.140088932	6.092653399	1.462911457	4.531321992	2.109484175	3.236313068	10.68748311	4.983244659	3.323146162
SD_QD_2023_07_60_normal_bin_21	0	4.245494828	8.575686185	8.384221193	11.4240467	9.748921351	9.699556299	7.764707584	11.52354036	2.848285777	11.0095111	10.18564345	5.697840508	8.893664991	5.788150336	5.211877678	10.06299846	4.196520556	6.621326125	12.13981746	5.823242313	10.14135143	6.874953796	9.362817565	6.956086239	6.963144968	5.318341391	2.210481732	4.16474819	4.971739671	5.018257378	4.298550098	3.847386954	2.890694717	2.758880729	2.814111618	1.712720702	1.070707516	2.628290362	11.96541204	4.560967853	1.386022415	4.586881802	2.30414939	3.035633379
