Sample,PCoA1,PCoA2,Depth,Tax
A1-20-normal,0.417164923,0.082945373,Twenty,Nucleocytoviricota
A3-20-normal,-0.027291588,-0.027722397,Twenty,Nucleocytoviricota
A5-20-normal,0.216189077,-0.107650352,Twenty,Nucleocytoviricota
B1-20-normal,0.094016382,-0.096757206,Twenty,Nucleocytoviricota
B3-20-normal,0.142911026,-0.150142525,Twenty,Nucleocytoviricota
B5-20-normal,-0.122768458,-0.089363653,Twenty,Nucleocytoviricota
C1-20-normal,-0.078514769,-0.090738504,Twenty,Nucleocytoviricota
C3-20-normal,0.146886824,-0.138187948,Twenty,Nucleocytoviricota
C5-20-normal,0.201615813,-0.12125675,Twenty,Nucleocytoviricota
A1-40-normal,0.048159662,0.008984285,Forty,Nucleocytoviricota
A3-40-normal,0.139548513,0.02337771,Forty,Nucleocytoviricota
A5-40-normal,-0.126453511,-0.057435225,Forty,Nucleocytoviricota
B1-40-normal,-0.010617603,-0.031552477,Forty,Nucleocytoviricota
B3-40-normal,-0.10618257,-0.075690956,Forty,Nucleocytoviricota
B5-40-normal,-0.165581889,-0.021489614,Forty,Nucleocytoviricota
C1-40-normal,-0.183686211,-0.076118491,Forty,Nucleocytoviricota
C3-40-normal,-0.11373926,-0.016173458,Forty,Nucleocytoviricota
C5-40-normal,-0.082451311,0.025786739,Forty,Nucleocytoviricota
A1-60-normal,-0.043172417,0.090544592,Sixty,Nucleocytoviricota
A3-60-normal,-0.154829877,-0.017725107,Sixty,Nucleocytoviricota
A5-60-normal,-0.111239745,0.035392517,Sixty,Nucleocytoviricota
B1-60-normal,-0.170394959,-0.047518555,Sixty,Nucleocytoviricota
B3-60-normal,-0.090939915,0.037671639,Sixty,Nucleocytoviricota
B5-60-normal,0.174759092,-0.089395753,Sixty,Nucleocytoviricota
C1-60-normal,-0.085232329,0.098146172,Sixty,Nucleocytoviricota
C3-60-normal,-0.149203748,0.039989694,Sixty,Nucleocytoviricota
C5-60-normal,-0.083584,-0.045390565,Sixty,Nucleocytoviricota
A1-80-normal,-0.009433205,0.136979075,Eighty,Nucleocytoviricota
A3-80-normal,-0.159752498,0.031826363,Eighty,Nucleocytoviricota
A5-80-normal,-0.008905779,0.130720374,Eighty,Nucleocytoviricota
B1-80-normal,-0.191061698,-0.106571659,Eighty,Nucleocytoviricota
B3-80-normal,-0.133819177,0.05564044,Eighty,Nucleocytoviricota
B5-80-normal,-0.160979015,-0.049149165,Eighty,Nucleocytoviricota
C1-80-normal,-0.080834415,0.076348699,Eighty,Nucleocytoviricota
