host	correlation_r
49	0.67194392
123	0.648753208
6	0.631898764
95	0.62763074
96	0.617231825
124	0.598777406
97	0.560749945
13	0.5598796
101	0.552402945
73	0.549700244
18	0.549649382
23	0.547261828
139	0.541285634
24	0.538522889
26	0.536170729
80	0.518041629
50	0.501672655
65	0.500860702
7	0.495379321
32	0.488953714
66	0.485718969
125	0.476556399
126	0.471506278
102	0.468250335
14	0.467173264
133	0.450589024
72	0.434371099
15	0.415806529
16	0.415791705
17	0.404443375
25	0.388318787
51	0.372502167
52	0.281926255
81	0.275407031
53	0.213988356
82	0.190370119
54	0.175172853
1	0.171120961
111	0.156073115
83	0.150784642
112	0.134132617
84	0.088867179
2	0.638219367
113	0.611907604
85	0.592273672
114	0.585189433
86	0.573449433
3	0.572972041
55	0.572467249
87	0.565906106
56	0.54667735
115	0.54146354
88	0.519344413
57	0.518961048
58	0.512397308
59	0.504154985
89	0.495683352
60	0.479824555
90	0.473382438
116	0.472969795
91	0.467044475
92	0.453052841
61	0.432009015
4	0.368940158
93	0.368815783
117	0.338984855
62	0.299630678
5	0.296476578
63	0.245825561
94	0.179528612
118	0.079321043
119	0.593000419
120	0.591315078
121	0.569227422
64	0.555873621
122	0.551784038
127	0.537714325
8	0.529707808
98	0.527239765
67	0.51984942
128	0.513466828
68	0.505110641
69	0.496813918
70	0.491026033
9	0.4895563
99	0.486693613
129	0.479417077
71	0.476938
130	0.473802392
131	0.469543504
100	0.463101695
132	0.458547893
10	0.449793057
11	0.448393277
12	0.446753858
19	0.437325156
74	0.433049069
134	0.42786451
135	0.424305746
136	0.394108479
75	0.382291806
76	0.362293924
103	0.359820005
20	0.310702103
137	0.281671432
21	0.271561278
104	0.262904296
105	0.215055536
106	0.211248957
107	0.175772975
138	0.156467142
108	0.141525511
33	0.053236003
22	0.516611502
77	0.516159857
109	0.485872724
34	0.445100642
27	0.410715751
28	0.396423283
140	0.392485052
29	0.378540485
35	0.360390672
78	0.351257401
36	0.329815628
79	0.326253679
37	0.307854707
110	0.304155544
30	0.30226096
31	0.301633048
141	0.233525013
38	0.22717565
39	0.207708027
40	0.176589391
41	0.172772908
42	0.108161087
43	0.107733079
44	0.101649955
45	0.029962469
46	0.021121068
47	-0.123710927
48	-0.225176395
