Sample	GV	Euk
A1-100-normal	37.93661084	398.04108
A1-20-normal	11.33442503	251.3003175
A1-40-normal	39.26026877	339.0546113
A1-60-normal	49.69796952	421.5095776
A1-80-normal	44.55489332	482.8530899
A3-100-normal	49.76477949	400.4161475
A3-20-normal	43.60270995	380.2323122
A3-40-normal	35.63092312	245.5680358
A3-60-normal	85.28266341	457.8344578
A3-80-normal	84.1818055	489.8846666
A5-100-normal	21.54929707	340.5477383
A5-20-normal	25.32628524	273.4373848
A5-40-normal	62.35215048	405.1966462
A5-60-normal	64.0966513	460.3253131
A5-80-normal	47.14741897	377.4302586
B1-100-normal	27.8278565	326.9960698
B1-20-normal	32.70611762	324.3474844
B1-40-normal	46.88710531	348.8988188
B1-60-normal	84.02798531	495.277883
B1-80-normal	91.32778982	347.0905954
B3-100-normal	22.53211721	279.5896626
B3-20-normal	28.19252446	271.9865246
B3-40-normal	54.23676046	321.4853549
B3-60-normal	57.85598837	448.0598698
B3-80-normal	72.00121498	419.1660012
B5-100-normal	34.73300716	379.5406941
B5-20-normal	69.33440596	389.1978631
B5-40-normal	85.2110585	482.3324359
B5-60-normal	30.86693387	283.4208393
B5-80-normal	81.96137125	434.8591578
C1_FDSW202534412-1r	21.51768036	137.7293233
C1-100-normal	27.54799908	278.9143247
C1-20-normal	59.47016731	289.1695202
C1-40-normal	83.21097619	422.6929644
C1-60-normal	59.34174903	429.5237603
C1-80-normal	57.26989348	371.4151854
C3-100-normal	37.2076448	372.1252072
C3-20-normal	29.10163434	300.0991711
C3-40-normal	63.33260612	416.0707162
C3-60-normal	77.66220093	523.569413
C3-80-normal	76.07560993	470.1031941
C5-100-normal	40.31132701	369.2730804
C5-20-normal	26.5361478	307.3300327
C5-40-normal	56.02737524	408.9075668
C5-60-normal	58.56454936	414.4060421
C5-80-normal	32.78450322	383.1577527
CXD_0204_FDSW210423206	9.24195661	146.4788121
CXD_0209_FDSW210423211	18.84297011	141.8337038
CXD_0210_FDSW210423212	26.93888073	179.9790805
CXD_0213_FDSW210423215	4.989518134	148.5772053
CXD_0214_FDSW210423216	3.071870679	140.4854663
CXD_0215_FDSW210423217	11.89144543	162.0077358
CXD_0801_FDSW210423161	24.33508195	231.8344728
CXD_0802_FDSW210423162	34.08503574	195.9332396
CXD_0803_FDSW210423163	34.19874979	72.33550684
CXD_0804_FDSW210423164	45.83481185	153.1822325
CXD_0805_FDSW210423165	39.97361169	128.6801986
CXD_0807_FDSW210423167	11.1204067	94.66950583
CXD_1001_FDSW210423173	13.02856055	95.72257835
CXD_1003_FDSW210423175	17.96277679	117.913467
CXD_1004_FDSW210423176	26.3558249	130.5206135
CXD_1007_FDSW210423179	10.52438273	100.9615578
CXD_1009_FDSW210423181	13.16777669	153.4438313
CXD_1015_FDSW210423187	30.95038161	239.927384
CXD_1201_FDSW210423188	14.16434037	128.4927021
CXD_1202_FDSW210423189	20.85864649	133.7687924
CXD_1203_FDSW210423190	17.03242581	89.75032215
CXD_1213_FDSW210423200	42.91696811	268.2521032
CXD_1214_FDSW210423201	34.18248043	222.0539708
CXD_1215_FDSW210423202	16.46478017	171.5438847
CXD_1401_FDSW210423218	12.03580199	56.07384725
CXD_1402_FDSW210423219	43.06262298	75.29065987
CXD_1408_FDSW210423225	12.1906607	156.685459
CXD_1412_FDSW210423229	16.56130681	212.5343393
CXD_1414_FDSW210423231	34.83796097	253.3596489
CXD_1415_FDSW210423232	46.09168024	238.7912706
CXD_1604_FDSW210423236	43.18974519	111.7533043
CXD_1609_FDSW210423241	15.33585945	193.0026022
CXD_1610_FDSW210423242	17.38629075	130.385444
CXD_1611_FDSW210423243	17.93105797	153.8786921
CXD_1612_FDSW210423244	14.82866455	138.0854542
CXD_1613_FDSW210423245	12.38072106	145.5577858
DD1_FDSW220008388-1r	15.91931807	46.15546338
DD11_FDSW220008398-1r	10.96462725	53.12758607
DD13_FDSW220008400-2r	35.43350808	48.83548987
DD15_FDSW220008402-2r	6.117840508	50.26690867
DD3_FDSW220008390-2r	3.405187894	51.70680302
DD5_FDSW220008392-2r	12.62142229	96.61140024
DD7_FDSW220008394-1r	7.233048667	60.97319795
DD9_FDSW220008396-1r	9.60507824	50.33767293
E10_FDSW202534389-1r	28.55117	149.4981021
E100_FDSW202534392-1r	27.8511375	154.4382594
E150_FDSW202534393-1r	27.39910238	137.0007641
E20_FDSW202534390-1r	25.97012131	170.7442702
E5_FDSW202534388-1r	25.17884468	150.8113513
E50_FDSW202534391-1r	45.05232298	146.5271192
LYG1_FDME210455382-1r	12.05041202	310.1166513
LYG11_FDME210455392-2r	12.38213612	416.7873189
LYG13_FDME210455394-1a	4.164236589	133.2293013
LYG3_FDME210455384-1r	21.62515934	425.0385827
LYG5_FDME210455386-1r	10.17323168	358.524651
LYG6_FDME210455387-1r	7.685210991	225.1765136
LYG7_FDME210455388-1r	2.776518153	195.0466829
N10_FDSW202534407-1r	25.23229372	195.4282031
N100_FDSW202534410-1r	43.96609951	136.4693215
N150_FDSW202534411-1r	36.61577246	144.0480376
N20_FDSW202534408-1r	13.68093819	118.6535614
N5_FDSW202534406-1r	19.60556387	166.3723053
N50_FDSW202534409-1r	32.75824554	170.0890937
NB1_FDME210455352-1r	27.56841552	27.41925244
NB11_FDME210455362-1b	21.07850594	30.74572059
NB12_FDME210455363-1r	18.51256679	21.89640966
NB15_FDME210455366-1r	17.62145227	18.48860902
NB2_FDME210455353-1r	10.98333783	1.543435873
NB4_FDME210455355-1r	29.50186509	26.1259693
NB6_FDME210455357-1r	30.61087982	30.44613298
NB7_FDME210455358-1r	27.72059183	39.45722705
S10_FDSW202534395-1r	17.275886	154.6581447
S100_FDSW202534398-1r	13.69291425	150.8050013
S150_FDSW202534399-1r	17.11889948	140.87649
S20_FDSW202534396-1r	22.36144796	157.3309694
S5_FDSW202534394-1r	24.55560724	138.0319447
S50_FDSW202534397-1r	11.95800223	150.2068477
W10_FDSW202534401-1r	16.88711424	141.8791849
W100_FDSW202534404-1r	19.76510276	132.4446924
W150_FDSW202534405-1r	5.709770831	115.7574261
W20_FDSW202534402-1r	17.08143292	134.301452
W5_FDSW202534400-1r	22.87487669	154.1319092
W50_FDSW202534403-1r	12.57077302	145.5086142
WZ1_L1	10.13884319	89.20258951
WZ10_L1	10.58181943	77.21976708
WZ11_L1	11.96475019	106.8660605
WZ14_L1	13.70140063	95.95840906
WZ15_FDME210455471-1r	29.10077799	74.09248138
WZ3_L1	13.30440166	94.03720627
WZ5_L1	16.98269884	112.387821
WZ7_FDME210455463-1r	9.93877868	80.37234359
YC1_FDME220007405-1r	3.442981776	20.2618787
YC11_FDME220007415-1r	8.274856214	22.73641753
YC13_FDME220007417-1r	5.371892325	20.47282533
YC15_FDME220007419-1r	5.960356676	24.54526508
YC3_FDME220007407-1r	3.876072871	19.51458615
YC5_FDME220007409-1r	4.421758282	17.57998209
