	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r	CXD_1003_FDSW210423175	CXD_1007_FDSW210423179	CXD_1009_FDSW210423181	CXD_1015_FDSW210423187	CXD_1201_FDSW210423188	CXD_1202_FDSW210423189	CXD_1203_FDSW210423190	CXD_1213_FDSW210423200	CXD_1214_FDSW210423201	CXD_1215_FDSW210423202	CXD_0215_FDSW210423217	CXD_1401_FDSW210423218	CXD_1402_FDSW210423219	CXD_1412_FDSW210423229	CXD_1414_FDSW210423231	CXD_1415_FDSW210423232	CXD_1604_FDSW210423236
ZJ_NB_2021_05_15_bin_19	0	0	0	0	0	0	0	0	3.952325277	1.053362562	14.24321771	10.44012033	2.178416625	17.55156456	22.72577049	24.15587956	4.804911591	4.359976047	30.17607152	4.738385796	27.09452785	3.210669077	8.00868939	84.37127193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_8	0	0	0	0	0	0	0	0	3.252997281	0	2.639077696	3.784864659	3.246881206	3.849499832	4.754599819	6.41419639	7.974871046	8.136879429	6.012395694	7.702230383	6.227110189	25.2170202	5.999602943	6.101341083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_6	54.87980837	7.807182709	42.10690708	27.52607571	44.66219644	19.42653708	23.06945999	14.57908663	0	0	0	0	0	0	0	0	0	0	0	0	0	0.942548652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.949807306	10.91750144	11.06848509	8.470208046	31.46352271	12.29130414	12.2308419	5.944475475	5.467085743	5.10337697	20.22681518	32.59420861	26.27040799	11.51254914	5.709025729	13.83366722	5.28739191	5.146319032	7.214242393	8.849415472	8.321664244	7.70411116	6.783965434	4.634403574	1.327604995	3.71460069	1.623815501	1.997118174	3.920124853	1.270879823	0.963877599	5.390562949	9.71346263	5.104050412	1.304625323	1.128224514	1.734784729	3.975695601	2.266065634	8.695761991	9.465909704	11.27569727
Entamoeba invadens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.787519291	0	0	0	0	0	0	0	0	1.785198879	0	0	0	0	0	0	2.69647051	0	0	0	0	0	0	0	0	0	1.58260143	0	0	0	0	2.337638742	6.432435994	0	0	0	0	0	0	0
Chlorella ohadii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69734327	0.81295766	1.344216463	0	0	0	1.524108303	0	0	0	0	1.361104738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.593911685
Heterostelium album	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86010103	0	0	0	14.89374083	4.94767336	4.474678021	0	0	0	0	9.154058801	5.464467139	0	0	0	4.392576648
Nephroselmis astigmatica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.248531315	5.216186354	0	0	0	4.732219236	0	5.769022897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.266390041	6.08034646	7.822730317	0
Gonium pectorale	20.08424804	7.262179744	20.78313795	9.618019054	6.730848662	5.897590444	0	8.861505361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micractinium conductrix	5.212431401	3.106373245	1.157193716	4.280549098	4.677600903	1.436858429	4.871114385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.918365358	0	0	0	0	0	0	0	0
