	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	LYG11_FDME210455392-2r	LYG13_FDME210455394-1a	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	SY3_FDME210455399-2a	SY7_FDME210455403-2a	SY9_FDME210455405-2a	SY11_FDME210455407-1r	SY12_FDME210455408-1r	SY13_FDME210455409-2a	SY15_FDME210455411-2a	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	ZH1_FDSW220008784-1r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r	CXD_0801_FDSW210423161	CXD_0802_FDSW210423162	CXD_0803_FDSW210423163	CXD_0804_FDSW210423164	CXD_0805_FDSW210423165	CXD_0807_FDSW210423167	CXD_1001_FDSW210423173	CXD_1003_FDSW210423175	CXD_1004_FDSW210423176	CXD_1007_FDSW210423179	CXD_1009_FDSW210423181	CXD_1015_FDSW210423187	CXD_1201_FDSW210423188	CXD_1202_FDSW210423189	CXD_1203_FDSW210423190	CXD_1213_FDSW210423200	CXD_1214_FDSW210423201	CXD_1215_FDSW210423202	CXD_0204_FDSW210423206	CXD_0209_FDSW210423211	CXD_0210_FDSW210423212	CXD_0213_FDSW210423215	CXD_0214_FDSW210423216	CXD_0215_FDSW210423217	CXD_1401_FDSW210423218	CXD_1402_FDSW210423219	CXD_1408_FDSW210423225	CXD_1412_FDSW210423229	CXD_1414_FDSW210423231	CXD_1415_FDSW210423232	CXD_1604_FDSW210423236	CXD_1609_FDSW210423241	CXD_1610_FDSW210423242	CXD_1611_FDSW210423243	CXD_1612_FDSW210423244	CXD_1613_FDSW210423245	A1-20-normal	A3-20-normal	A5-20-normal	B1-20-normal	B3-20-normal	B5-20-normal	C1-20-normal	C3-20-normal	C5-20-normal	A1-40-normal	A3-40-normal	A5-40-normal	B1-40-normal	B3-40-normal	B5-40-normal	C1-40-normal	C3-40-normal	C5-40-normal	A1-60-normal	A3-60-normal	A5-60-normal	B1-60-normal	B3-60-normal	B5-60-normal	C1-60-normal	C3-60-normal	C5-60-normal	A1-80-normal	A3-80-normal	A5-80-normal	B1-80-normal	B3-80-normal	B5-80-normal	C1-80-normal	C3-80-normal	C5-80-normal	A1-100-normal	A3-100-normal	A5-100-normal	B1-100-normal	B3-100-normal	B5-100-normal	C1-100-normal	C3-100-normal	C5-100-normal
SD_QD_2023_07_100_ultra_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.021989448	0	1.403237312	0	0	0	0	0	0	1.369877683	1.031914708	0.930492683	0	0	0	0	0	0	0	0	0	1.329340629	1.193877731	0	1.16614193	0	0.916564765	0	0.913308189	0	0	0	1.478433707	0.960214672	0.862453547	0	0	0	1.263357108	1.057364299	0	0	1.428818084	1.210558766	0	0	0	0	0	1.496613404	0	1.088337356	1.579399109	1.009220757	2.624558827	1.160207547	0.880594302	0	1.147755096	0	1.094509149	1.994864597	1.921368039	3.253772006	1.790510246	1.618121942	1.717457361	1.795016036	1.075984373	0	2.359852484	1.383790123	2.168187892	1.198510295	1.664433604	2.377810158	0	0	0.984892095	1.004416706	1.542863976	0	1.540157582	0	0	1.253525149	0	0	0	2.337610923	0	1.223422829	0.987516397	1.031651163	0	0	0	1.152843631	1.165529998	1.547537143	0	0.952077896	0	0
HN_SY_2021_04_15_bin_4	0	0	0	0	0	0	2.611029302	0	1.516121928	2.854354816	2.304322751	0	0	2.630879968	0	0	0	0	0	0	0	0	0	9.177781605	2.197328567	11.79751659	2.963487735	23.08175044	19.25285217	7.389182821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.679115763	0	0	0	0	0	0.954055723	0	1.295264347	0	1.422166448	1.048404192	1.768857993	0	0	0.98593834	1.513857029	1.450821354	1.269379292	0	0	0	0.948290569	0	1.636647639	2.25162672	0.909241316	0	2.20283394	2.229978445	3.414194743	1.764667686	0	1.625561751	1.386961674	0.977343768	0	0	0	0	0	0
LN_DD_2021_06_15_bin_10	12.24731671	0	4.685167095	3.606293208	3.345242334	5.424886144	31.78598444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.385197616	5.066963842	5.786892519	4.03072595	17.9136744	7.119649073	4.291773306	3.313337413	4.845689551	3.349050078	10.89352132	15.47277897	11.2030032	5.610884303	3.223359479	5.490194544	2.910922944	2.92044568	3.571130791	4.766642648	3.882176307	3.488125715	2.80016672	5.149093933	1.303662121	0	0.87198651	0	0	0	0	0	0.845476453	0	1.176442813	1.673828529	0.956594204	0	0	0	4.425822442	2.466501246	0	0	3.128266157	1.034195714	0	0	0	0.937832412	2.276007648	1.575191515	1.616319063	4.028984328	8.370338762	6.025356394	1.671133105	4.460818405	3.315789704	3.525035644	4.717143744	0	1.019214711	0	1.125203002	1.417171909	2.398785929	1.115571085	1.351238811	0.858937635	0	0	1.504793034	0.918313027	1.301343103	0	1.49591529	0	0	0	0.81259874	0	1.135072584	0	0.876751397	0	0	0.972209525	0	0	0	1.701102825	0	2.300881114	0	0	0	0	0	0	1.044574233	0	0	0	0	0
SD_QD_2020_06_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.026100585	0	1.235923777	0.888035106	0	1.800834189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.568060941	2.555956291	3.073669028	1.777441995	3.211408398	1.425597783	1.158035553	1.221133231	1.846107804	1.155780348	1.493257126	4.170400548	5.750903327	2.703800305	1.410865803	2.774816431	0	1.024638943	1.637284696	1.646374061	1.931954573	2.032209344	1.443094987	1.463090305	0	0	1.231940081	0	0	0	0.994268251	0	0	0	2.064357929	2.299784885	1.612424907	0	0	0	3.38803404	2.477951277	0	0	3.578873348	1.334124793	0	0	0	0	1.605737408	0	0	2.724655697	4.11952781	4.549443282	0.89490341	1.198619558	1.328713262	1.55156845	0	0	0	0	0	0	0.967729641	0	0	0	0	0	1.200878499	0	0	0	1.207411339	0	0	0	1.145346349	0	1.414983263	0	0	0	0	0	0	0	0	1.456512497	0	1.331729034	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.960245882	0	0	0	0	0	0	0	0	0	4.467594256	0.84060245	4.439286217	5.028079677	4.427730904	3.264746614	3.985865462	1.621138711	1.870284636	1.535060762	1.236949353	9.689467018	6.355156061	2.324693714	1.30844572	1.154380093	1.420071875	7.841648489	8.835959608	5.092176173	2.800226811	1.626060055	2.423952254	1.390517861	0.975634168	1.267554438	1.682384013	1.468393584	1.128748375	1.218990942	0	0	0	0	0	0	0	0	0	0	0	0	0	0.871053213	0	0	0	1.781728696	0	0	0	0	0	0	0	0	0	0	0	0	2.664216528	1.485384763	1.082768835	0	0	0	0	0	0	0	0	0.766620714	0	0	0	0	0.863069327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.125803223	0	0.977217126	0	0
SD_QD_2020_06_15_bin_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.307896697	3.512285067	3.763919415	2.881245021	2.235365031	1.159034138	1.827589538	4.309941245	6.437744228	2.592895788	2.004265228	2.10250736	1.878202454	2.818609957	2.515351511	2.32437364	2.484158659	2.886566387	2.93911584	4.189070998	3.379009463	2.583019372	2.444878844	8.292484116	5.984571846	4.648571097	2.068038356	4.331464026	4.857350072	5.617012058	4.336978739	1.695953004	1.941625551	2.738788966	5.517873384	5.130310146	4.477587389	1.574963794	3.148472114	2.688116653	4.582609099	6.212778298	4.019212988	1.823589996	7.70446862	2.963846328	2.186850458	1.282903753	1.975952699	2.094940541	1.48352903	8.212464696	9.109068426	8.058577385	7.535522759	2.591448939	8.216188793	0	1.133723851	0	0	1.077281077	4.652069663	2.267151786	3.974799663	4.497485103	10.96595949	7.821546085	4.467657178	1.730515469	3.834237896	3.639997437	6.370613512	3.856282887	12.61334506	7.19235799	11.31545496	10.14099381	6.962419917	2.918409782	4.733553018	2.790045886	6.140356046	4.220007318	3.084736633	3.183663427	5.018493263	6.102611088	4.396786451	3.678935889	2.47049057	7.310015697	4.007186612	6.253230548	3.090866873	4.882156308	1.322366816	2.131140626	2.766834343	1.815527745	6.030233804	2.541012011	2.05925264	2.299730655	2.824627146	3.199729917
SD_QD_2020_06_15_bin_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.054686013	1.522525974	1.725810061	1.530583632	1.944302131	1.842800711	2.186673143	1.041603187	1.392163856	0	1.761468038	1.492480235	1.70101063	1.470040702	1.309829086	1.214086425	0	0	1.1407839	1.013877115	1.029606706	1.146382459	0	1.137041807	0	0	1.123122179	0	0	0	0	0	0.784584656	0	0	0.981759945	0.957309753	0	0.995023523	2.459463504	3.321998088	2.10610126	0	1.114460295	1.644708771	1.674265545	0	0	0.892351885	1.160991375	0.975887917	0	0	1.170679075	2.676621126	1.601268076	0.950863912	3.499196064	2.245323207	1.890703515	1.8232988	0	0	1.526418617	2.142321971	2.462036883	2.159445691	1.989811958	2.906442334	2.843103402	1.191868835	0	1.69684253	1.808097381	1.482126188	0.979718068	1.775641812	0	0.986699923	0	0.976492409	0	0.944273403	0	2.563249372	0	0	1.225271531	0	0	0	2.666409832	0	1.72296457	0	0	0	0	0	1.390773912	1.809395701	1.659671721	1.252004892	1.273831289	0	1.217043756
JS_LYG_2021_05_15_bin_5	2.613321089	3.405187894	6.338936858	3.626755459	6.259835906	5.539741103	3.647523644	6.117840508	10.71798098	18.71167003	7.502258557	6.432400659	2.776518153	8.973909654	4.164236589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.017986923	0	0.764740637	0	0	0	0	0	0	0	0.973687605	0	0	0	1.074973226	1.033558045	0	0	0	0	0	0	0	0	0	0.975607954	0	1.068500954	0.905292702	0	0.799570759	0	0	0	0	0	1.325675003	1.347218221	1.154018786	1.12960482	2.243593102	2.518980877	1.146295839	1.057961863	1.084803752	1.297701854	2.398535631	1.497927211	2.097542161	2.305267708	3.048437375	3.092582686	1.80145485	1.464114422	2.419157074	2.253258696	3.245718794	2.111863205	1.056390141	2.741333676	2.296027001	1.84858344	1.089438075	2.617606525	1.077609735	2.680861886	1.912218489	2.218528174	1.481331443	2.055308612	0	0	1.203206263	0	0.957938425	0	0	0	1.079653	0.834313582
SD_QD_2020_06_15_bin_13	0	0	0	0	0	0	0	0	1.332431043	2.91348931	2.670973122	1.252810332	0	3.40822647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.060298588	2.710793145	2.408774782	2.506383645	4.911078179	2.369420401	3.345822696	2.181841686	2.412256352	1.479223606	3.35059851	4.928657441	4.466011299	2.345747878	1.401480054	2.138403843	1.397893039	1.23660529	1.843004839	2.219566057	1.716570242	1.541198324	1.273901307	1.526837308	0	0	2.169646975	1.226862823	1.171726037	1.118462212	1.358401956	1.131418823	1.588495416	1.072119994	1.795243092	1.748179855	4.391166489	1.402071145	1.320783393	2.453647354	4.356655289	3.415846834	1.631302053	0	2.243243124	1.136675403	0	0	0.999378443	0.970156552	0.951811675	1.209434935	2.538617048	4.286446414	4.109209138	2.591631956	1.639728879	2.401820142	2.870918518	2.152158603	1.863219789	1.008618017	3.076810606	2.062863997	1.774208058	1.930546879	4.849200099	4.297513085	1.866233672	1.690492939	2.136431509	1.907789567	3.869869207	2.190910546	3.7909352	3.388146305	4.484334632	3.376787457	2.95793547	2.059271112	2.758599747	2.814627477	3.502304055	2.393086121	1.993148576	1.998497589	2.780048759	3.415789989	1.414544995	3.2764996	1.130081801	4.563431716	1.90878668	2.867704896	2.415527815	2.895248328	1.199327921	1.205026484	1.973736433	1.197653566	1.785026764	1.176903964	0.968647326	2.215888	2.059097263	1.393525666
SD_QD_2020_06_15_bin_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54008553	0	2.062432159	2.016958241	1.516099572	1.728066435	1.501090889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.228413363	4.578726195	4.525324699	6.426057553	11.61235375	7.800306814	4.616699143	5.015433339	1.761166058	3.582554706	2.934368275	3.193330897	0	1.820954569	5.134902115	2.493358275	2.444632763	1.270081907	0	1.294230192	3.019172309	4.136948072	2.578004563	2.479050597	1.745188897	1.27205244	1.741719968	3.11144798	2.638165899	1.967547847	1.574326711	1.680911305	0	0	1.14948415	1.006583723	0	0	0	0	0	1.023295538	1.018582353	0.979395086	3.760998271	0	1.357745282	2.640678919	5.518723106	2.95671872	0.93674689	0	0	0	0	0	0	0.975089721	0	0	0	3.735563472	3.013161367	1.006660886	0	1.303849587	1.590110896	1.010605309	0	0	1.4833717	0	0	0	1.933097262	0.966784593	0	0	0.884132304	0	1.338034504	0	1.556643549	2.222792434	2.333487486	2.035498085	1.186849251	1.071724378	1.556156504	1.028757667	2.152567778	0.88652159	0	1.362207998	1.659425917	1.261374168	0.960740206	1.692716653	0	2.827424973	1.103840745	1.743409759	1.12118285	1.602052643	0	0	1.471454582	0	0	0	0	0	0.968839677	0
