	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	SY3_FDME210455399-2a	WZ7_FDME210455463-1r	WZ15_FDME210455471-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r	A1-20-normal	A3-20-normal	A5-20-normal	B1-20-normal	B3-20-normal	B5-20-normal	C1-20-normal	C3-20-normal	C5-20-normal	A1-40-normal	A3-40-normal	A5-40-normal	B1-40-normal	B3-40-normal	B5-40-normal	C1-40-normal	C3-40-normal	C5-40-normal	A1-60-normal	A3-60-normal	A5-60-normal	B1-60-normal	B3-60-normal	B5-60-normal	C1-60-normal	C3-60-normal	C5-60-normal	A1-80-normal	A3-80-normal	A5-80-normal	B1-80-normal	B3-80-normal	B5-80-normal	C1-80-normal	C3-80-normal	C5-80-normal	A1-100-normal	A3-100-normal	A5-100-normal	B1-100-normal	B3-100-normal	B5-100-normal	C1-100-normal	C3-100-normal	C5-100-normal
SD_QD_2023_07_40_ultra_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.908202224	1.212962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.016654119	1.202090775	1.841630904	1.303079493	3.444690703	1.858610113	1.361679052	1.22573801	1.582883564	1.799684431	2.012983614	2.852800835	2.676674461	4.796240171	3.370731974	3.536413151	2.819471554	3.130083063	3.896288776	3.282754459	4.203199803	2.506406777	1.439755525	2.370381876	3.653776167	2.553364619	3.033290035	4.958681589	2.406628429	3.34660411	3.826656341	3.525446557	3.384219483	3.850781108	1.60434974	1.961441364	3.304752084	1.231756037	2.046565927	1.161614173	2.357293232	0.893102796	2.24631363	2.124279882
SD_QD_2023_07_80_ultra_bin_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.184077846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901160491	0	0	0	0	0	0	0	2.747418743	1.099884354	1.682599303	1.456322994	4.36237543	1.692611127	1.479447542	1.316896335	1.714028018	2.578531674	2.218317952	2.544891868	2.543827387	4.641379698	3.467182063	3.256821671	2.660844444	2.974354862	4.636314954	2.482763465	4.443616104	2.975465922	1.449191517	3.563878151	3.846562473	2.625475162	2.907658461	4.414927547	2.987047109	3.808159849	4.00524789	4.950925485	3.168233585	3.655534713	1.886237763	1.810333281	3.31502086	1.279834672	2.019887151	1.528266818	1.874291085	0	2.281065266	2.183603712
SD_QD_2023_07_40_normal_bin_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.122633887	2.878668737	3.199340524	2.815659611	0	1.223236119	3.555221358	3.040578928	3.681705397	1.815401608	0	0	1.474094154	3.337771633	2.585205484	1.716264194	1.443306116	1.069905595	1.4539349	4.207732597	2.760980263	2.359276201	1.393091507	4.109528362	2.479616277	0	5.697218589	3.645513781	3.578671965	0	1.468808965	1.028461245	0	2.434867066	1.495577822	1.635569734	4.477394789	0	2.608163672	5.190411324	5.626756177	3.783692928	1.834263204	1.029894497	2.28830189	2.124289655	0	0	0	3.57329252	1.46417223	6.566939432	2.805232378	5.131836641	2.849567588	2.801485951	3.770185914	0	0	0	0	1.725797132	7.000292325	1.058956451	2.210982353	1.851015194	8.559601215	4.61599654	1.778914589	1.18751302	5.144296927	3.475715876	6.546947811	4.403723776	7.033575656	11.77468787	11.29747687	9.197037956	6.748646621	7.635584919	9.788684916	6.314210152	11.80191371	6.988677739	1.622535876	7.233896369	10.41296836	7.221524287	6.410159327	10.71185459	4.657436902	12.68940448	7.764611596	9.392357608	7.035583414	8.817022264	4.458720723	3.703207086	8.646013423	1.617595162	2.798817149	1.952179137	2.510576231	2.16993503	4.68457634	3.690244121
SD_QD_2020_06_15_bin_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.067009939	3.213272163	2.876145475	3.067962565	4.190258121	2.129747084	2.616765835	4.161268409	3.296051854	2.085819875	2.762978712	3.802478518	3.498414291	3.359909935	2.876794067	4.00042556	3.542111247	3.810798477	3.867354574	3.358484234	2.6588767	2.864486463	3.205197976	3.968622951	3.997842533	1.387991109	1.410924088	2.373342848	1.173385011	7.883133113	3.157140354	2.145355895	2.120924513	2.380680181	2.938090707	3.473485178	5.675569366	2.452156158	1.883777278	1.409192887	5.527081557	5.630159494	3.726526762	0	1.850079279	0	0	0	0	0	0	0	2.479248777	9.293618501	7.577364558	0	0.950464002	1.009632745	1.290486143	0.88518506	1.23379651	0	2.608215257	1.095421188	1.297485354	1.349424807	3.695247294	3.153485276	1.833580709	1.132449205	1.502451051	0.87245375	5.182038843	2.753520023	3.801206672	5.230338118	6.266075618	3.499029347	3.873278461	2.143681463	5.96130235	5.24008364	7.947040937	4.012976386	1.374728689	6.325134275	7.306159106	4.291976352	1.000931744	5.809303062	2.89127187	4.36119282	6.605995784	5.511586014	3.878320807	6.970974428	1.966288943	1.456534373	4.19065819	1.131967021	1.348684157	0	1.921793411	1.261018156	2.626780359	2.862234644
SD_QD_2020_06_15_bin_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.600101959	2.976468944	3.16203768	2.769344415	5.915131953	4.683855427	3.266914554	1.703471801	1.613418097	1.418908532	6.461017532	5.035295539	4.460730199	4.092159931	2.770473109	3.430091823	1.670566228	1.518982549	1.667591922	3.122216546	2.833498966	2.469324959	2.250662643	1.626561449	0	0	0.909175536	0	0	0	0	0	0	0	0	0	3.117461059	0	0.971826932	1.373265435	3.532430856	1.394807815	0	0	0	0	0	0	0	0	0	0	0	3.296991279	2.952715612	2.801388407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.445424631	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_40	19.23396756	0	4.085763131	2.729994556	2.461420769	3.770823049	20.79660061	0	0	1.954496918	5.250228136	7.983149905	4.230694923	0	0	0	0	0	0	0	0	0	0	0	2.492095624	3.5256109	3.251526211	2.506928781	10.56620525	7.959699272	4.554538633	2.010050313	1.967628918	2.881555493	10.74272868	10.05210917	6.861283143	4.024593265	3.266280116	4.048818466	2.459792887	2.157079839	1.759469204	2.69730166	2.673179751	2.207803816	2.196756775	1.402381684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.714428161	0	0	0	0	0	0	0	0	0	0	0	0	1.833408669	1.737659182	2.784862991	0	4.837949738	3.355664953	3.057615713	4.566835974	0	0	0	0.778749662	0.972885936	0	0	1.139051153	0	0	0	0	0.865356982	0	0	0	0	0	1.122769785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86524456	0	0	0	0
SD_QD_2023_07_100_ultra_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.068667576	0.95206192	0.856333274	0	0	1.067522131	0	0	0	0	0	0	0	0	0	0	0	0	1.245689505	0	0	0	1.220173592	0	0	1.50457901	0.986031229	0	0	0	0	0	0	0	0	0.923372028	0	0	1.527956378	1.607217725	0.962512152	0	0	0	0	0	0	0	1.076638737	0	1.972296853	0	1.596965201	0.854791273	0	1.20401479	0	0	0	0	0	2.222130116	0	1.295840762	1.017603056	2.66866248	1.658409929	0.956460924	0	1.641828502	1.530858008	2.235592556	1.747434412	2.884574805	4.78957547	4.148487859	3.775132463	1.985830864	3.092805851	3.760526413	3.062955781	4.367455947	2.72433457	1.051959026	2.2780151	3.080516393	2.407146112	2.43900165	4.403555693	1.717559425	4.733327482	2.518486698	3.740054079	2.502537321	3.271195219	1.683678786	0.991105621	3.450552046	0	1.234893285	0.95279442	0.981460611	1.407972743	1.913941504	1.380234748
SD_QD_2023_07_40_ultra_bin_12	0	5.806966749	2.794586964	0	1.284193206	0	0	0.990471003	0	0	0	0	0	1.096529063	0	0	0	0	0	0	0	0	0	0	0	0	0.763115915	0	0	0	0	0.914610703	0.940174453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.027486741	4.084310231	2.827425843	13.274614	2.604274033	9.538651912	2.000068019	6.580484036	2.66933591	1.186709641	2.599346219	3.213789062	4.00632517	2.568087667	3.653566967	4.608348812	2.106478104	2.675136825	3.029803614	3.918388308	3.71709584	10.52227026	3.631123722	2.465673835	2.289386205	2.783175829	0	1.347279587	16.61376557	2.795903719	2.92918148	2.593479856	1.634942607	11.60947269	0.992911596	1.361920729	0	1.074164771	8.650404163	13.12800927	5.726107975	7.209168886	6.389966248	20.43313372	31.0188682	5.490665317	4.265448396	13.15996737	9.277376949	16.04686649	5.595169912	23.59816366	13.28639297	24.4075556	11.30550419	12.93562038	6.100288507	10.65868121	5.809789564	11.24507695	6.060304275	6.464700316	6.578341903	5.554939959	16.83368505	2.435631358	8.155251329	5.567452741	44.44085646	4.477086468	9.962187039	7.215564068	4.709404175	2.634059618	3.928730016	7.073018058	2.867928285	11.62328398	4.390104813	4.712329035	4.618241951	3.954690443	4.616362521
SD_QD_2023_07_60_normal_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.019428228	2.271690289	2.725639153	2.310372222	0.982274719	1.013934958	1.903864662	2.737841796	2.545365774	1.301983572	1.010483464	1.11325496	1.459623538	2.462002669	1.829569241	1.978382372	1.596068154	1.591579822	1.68864064	2.507370612	1.58642443	2.025014321	1.601901292	3.016597201	2.372887803	0	2.166383088	1.851540475	1.818784938	1.48080886	1.438614155	0	1.019001444	1.305748976	1.434434709	1.642389973	3.732467148	0	1.305429474	2.125013202	3.849045563	3.267537389	2.047883645	0	1.26572405	1.317110621	0	0	0	1.26471907	0	2.195360915	1.497047391	4.891313772	3.907460868	0.960852747	1.498731001	0	0	0	0	0	2.750550811	0	1.296174974	1.518023369	4.201595557	2.895047628	1.02671267	1.054843741	2.445641548	1.280046846	3.872933212	2.371532828	3.667458048	5.63705415	5.633462986	3.836426765	3.397393445	3.720812712	5.492369633	4.419775345	7.295594793	4.154232892	1.161310127	4.920303288	6.542983833	4.10063825	2.613625341	4.923641904	2.608479371	5.755682035	4.692158326	4.884124636	3.832809867	5.089566528	2.139082582	1.372035794	4.108142831	1.113016656	1.60746203	1.003758792	1.417823432	0.921707662	2.776072277	2.324191514
SD_QD_2020_08_15_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.49438011	4.68766723	27.76421102	35.56853781	32.17380784	1.346966081	5.379977764	7.248687759	20.34115652	0	0	0	2.360634928	7.060798939	0	0	2.615146732	2.439969594	2.473080667	0	13.83271515	0	0	0.857640172	5.422129256	33.40839233	1.282296307	0	0	0	15.80420778	2.659150639	0	0	0	0	4.087703085	1.037795471	0	0	1.749588898	2.747263571	0	0	0	6.927639472	2.544715222	0	0	0	0	0	0	0.884929102	2.100857832	0	0	0	0	1.785412123	0	0	1.768932882	2.146449894	0	0	0	0	0	0	0	0	6.753760509	0	0	0	0	0	0	0	0.887779587
