	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	DY2_FDME210438600-1b	DY6_FDME210438604-1r	DY7_FDME210438605-1r	DY10_FDME210438608-1r	DY11_FDME210438609-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	XM12_FDME220007446-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	ZH1_FDSW220008784-1r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r	A1-20-normal	A3-20-normal	A5-20-normal	B1-20-normal	B3-20-normal	B5-20-normal	C1-20-normal	C3-20-normal	C5-20-normal	A1-40-normal	A3-40-normal	A5-40-normal	B1-40-normal	B3-40-normal	B5-40-normal	C1-40-normal	C3-40-normal	C5-40-normal	A1-60-normal	A3-60-normal	A5-60-normal	B1-60-normal	B3-60-normal	B5-60-normal	C1-60-normal	C3-60-normal	C5-60-normal	A1-80-normal	A3-80-normal	A5-80-normal	B1-80-normal	B3-80-normal	B5-80-normal	C1-80-normal	C3-80-normal	C5-80-normal	A1-100-normal	A3-100-normal	A5-100-normal	B1-100-normal	B3-100-normal	B5-100-normal	C1-100-normal	C3-100-normal	C5-100-normal
ZJ_WZ_2021_05_15_bin_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.56841552	10.98333783	29.50186509	30.61087982	27.72059183	21.07850594	18.51256679	17.62145227	10.13884319	13.30440166	15.95659825	9.030576456	9.345895655	11.07671508	13.70140063	24.06764135	0	3.442981776	3.876072871	4.421758282	3.654275879	9.955618128	8.274856214	5.371892325	5.960356676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.214193295	0	0.959128828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.661646475	5.733218845	7.877279687	9.919016885	0.937378504	0	0.752303203	5.952971268	17.15625786	3.641108646	0	1.072201727	1.153389735	5.283807825	2.819653501	1.844152731	0	0.962292286	1.406338518	6.517892598	3.946739859	2.459709725	0.941447823	5.007102108	2.656292389	0	5.292985326	1.517330951	1.621049507	1.079626873	2.352399128	1.439910823	1.445441598	0.910699938	3.106970103	3.434430588	2.434451663	1.926771527	1.70080533	4.160119745	5.094242504	2.653367364	0.967410769	0.955765639	8.647891873	1.09045126	0	0	0	2.50673749	1.695399926	3.034002683	3.352204448	2.914229036	9.318241616	0	3.538525759	0	0	0	0	0	6.040825753	0	1.113925347	1.346389311	8.489414969	8.756304379	0	0	3.825218893	0.966951008	9.781291382	1.610922968	11.87599129	4.860859406	11.97254384	3.430738668	3.934473136	1.051761839	3.447980632	3.69122135	4.519876413	2.576377523	0	1.448883086	2.721261	6.450168416	0.881529442	3.212734495	1.016547581	19.59641001	2.022347527	3.816207005	1.517826195	2.306323376	1.181915651	0	2.3525331	0	1.997363189	0	0	0	1.083437601	0
SD_QD_2020_06_15_bin_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.871372865	2.633061602	2.069888248	1.938957013	5.432706336	3.30011013	2.297763175	1.675544189	1.687947746	1.151527572	3.545985204	5.075039092	4.32263313	2.280545785	1.498602264	2.133629091	1.286296821	1.292865768	1.58428787	1.798692812	1.579333577	1.721373787	1.217693796	1.254395031	1.038597279	0	3.763409331	0	1.490653039	0	0	0	1.03528554	0	0	0	2.403082158	0	1.038115857	1.233720914	2.953012427	1.661803228	0.920780978	0.974777889	0	0.946226081	0	0	0.869692164	0	0	2.125031139	1.687137227	3.181850755	3.376350791	2.514439945	1.515326812	1.407835167	1.146478768	0.882975025	1.082392378	0	3.551852484	0	1.494872196	1.218744695	6.051077717	5.40443541	1.165104501	0.97437141	3.435576201	0.964698551	4.369758685	1.155164323	5.237281647	3.279594312	6.825730803	2.422535335	3.094031794	0	1.018970974	1.465259744	2.202180891	1.511780305	0.938206165	0	1.051521617	3.864565581	0	1.209139618	0	10.85348548	1.427453245	3.20906594	0.874149688	1.549507988	0	0	0	0	1.620659426	0.865879713	0.886521397	0	0	0.933856981
SD_QD_2020_06_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.431063708	1.79350441	5.177141983	5.415006034	5.168899949	4.009439136	2.845375317	2.389476269	0	1.173823795	0	1.639396293	0.667260598	0.89323752	1.113743625	4.733253982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.436914307	1.13436298	1.025745446	1.060135493	2.164477955	1.665938906	0.800863163	1.329274231	1.284290674	0	1.849826982	2.568902802	1.346456045	1.264656675	1.228494052	1.782836527	2.85721836	4.723338053	2.626954018	1.356525521	1.119392414	1.85853152	2.343991851	1.624279252	2.340270226	0	0	0	0	0	0	0	0	0	0	0	1.55125494	0	0	0	0.928417857	1.342590626	0	0	0	0	0	0	0	0	0	0	2.142147181	2.016123637	1.635369288	0.888123783	0	0	0	0	0	0	0	0	0.811535483	1.111698682	1.256367482	0	0	0	0	0	0	0	0.998043322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_12_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.925554051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.272126514	0	0	0	4.034047874	3.886312123	17.82907932	3.355858898	4.085184124	0	2.600703408	3.451883078	27.6915204	13.80566351	1.128167949	3.031739549	4.671403441	12.02608828	19.86803129	2.072177377	1.702919168	10.00019655	6.516619909	8.697085221	0	1.275992736	0	1.230353058	2.930497343	3.260571261	0	0	4.654918652	3.180353631	2.967029776	3.685169928	1.46867175	0	1.010994641	1.212906581	1.54953654	1.291700225	0	0.915113188	1.367280285	0	0.87380255	0	0	1.037811034	0	0	0	0	0	0	0	0	0	1.246901575	0	0	1.445405042	0	0	0	0	0	0	0	0	0	0	0	0	1.091725855	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.369794838	4.812195512	0	0	0.78741109	0.982046874	0	0.868308571	0	0	0	0	0	0	0	0.858375427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.206860376	1.105199343	1.423471075	0.987522021	0	1.1504092	0	0	0.974531927	1.096870494	0.898675081	1.568854427	0	0	0	1.348017525	1.26855308	0	0	0	0	0	0.948960729	0	0	0	0	0.828204773	0.822940775	0	0	0	0	0	0	0.907883723	1.798848392	1.273490915	1.627469782	1.422516171	3.350213515	1.946748571	1.552081978	1.564476125	1.454975293	1.27646016	5.291607021	2.720394364	2.813057749	6.0007353	4.852829633	4.232583341	3.941699353	3.758195864	7.75808656	4.712730076	7.847122583	3.79112718	1.666299148	3.165992247	6.423670529	3.558722384	2.056345352	6.380689392	2.709105604	3.977526038	5.942168816	6.226242638	3.17537499	5.26062755	0.814792954	1.65053643	2.116707172	1.259710571	1.758048391	0.903303773	2.57449398	0	0.923842194	1.782502172
ZJ_NB_2021_05_15_bin_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.435000362	2.656856714	6.405800689	6.431832251	5.063383052	4.605863708	5.206642789	2.377261895	0	0	0	0	0	0	0	0	0	0	0	0	0	0.854358235	1.399687197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.611602732	0.908885025	3.935493937	5.266463756	3.340040299	3.049887687	2.317394061	1.048331754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.86316443	10.17449591	14.28736528	11.20689155	13.14324728	13.55508943	12.62178199	12.33673237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_14	1.058680267	0	1.597318333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.835262607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.782182035	1.789578617	2.377777451	2.033185631	3.303909638	3.654738824	2.796411601	1.540849296	2.27121024	1.270556073	3.629936499	4.265372136	2.675750917	1.907175993	1.381354554	1.49699401	1.012276817	1.022677183	1.77661631	1.570091536	1.282536883	1.401532112	1.158578264	1.090402277	0	0	2.529655105	0	0	0	0	0	0	0	0	0	0	0	0	1.548545579	3.24255008	1.425988783	1.180230754	0	1.442295096	1.323041985	0	0	1.225722602	1.144526231	0.959633871	3.283881818	0.948091146	0	2.53117913	1.366306367	0.823380871	2.312703438	2.463298086	1.292050754	1.473446934	1.16890254	4.473152352	3.539505854	4.602301502	3.762068206	6.361859761	6.401122032	3.660616911	3.244622142	4.056460002	4.825559798	5.576464391	4.823913372	5.223122346	6.295610033	6.981834626	3.566830533	3.941288472	4.898005268	7.557330108	4.839172293	7.343682515	4.418302183	3.986775843	4.033007905	4.698911914	4.422856276	4.095368807	7.231989707	5.277062047	7.982774577	5.013850406	5.155800761	4.836739759	4.831495056	3.550914405	3.312379053	5.511580622	3.052644368	3.514805442	3.338807932	3.038107145	3.667622466	4.640993276	3.148314345
Stegodyphus mimosarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.116596433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.874504784	0	0	0	0	0	0	0	0	0	7.488627821	0	12.01419156	0	9.632393524	0	4.646942837	10.48058256	15.38662421	0	5.313922277	5.643728505	0	0	8.164300936	0	8.873465803	0	0	15.4293902	12.19015748	0	0	4.046867088	0	0	0	0	0	0	0	0	0	0
Chlamydomonas schloesseri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.216507928	0	0	0	3.386048176	1.91673095	1.085486301	0	0	0	1.702789591	0	1.398319787	0	2.672964934	0	0	0	1.326760631	0	1.640796843	3.817357318	0.993261581	0	1.263223174	2.062396021	0	0	0	3.834011471	0	0	0	0	0	0	0	0	2.256506854	0	0	0	0	0
Astrephomene gubernaculifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.863559021	0	0	0	0	0	0	0	0	9.713282027	0	6.929526841	8.945737355	7.917186478	4.607285187	0	0	4.126458262	0	0	4.439676332	4.552037475	8.114208791	8.381776045	0	0	0	5.230702402	0	5.60361126	7.345154581	5.466975101	0	0	0	0	0	0	0	0
Pedinophyceae sp. YPF-701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52288707	8.89334609	0	0	3.516466576	0	0	5.483937094	0	0	0	0	34.96141553	0	0	0	0	0	0	0	0	3.742933281	4.580046	7.452034775	0	0	0	0	0	0	6.512346028	0	3.102176841	2.997847982	0	0	0	0	1.785258754	0	1.905043566	0	0	4.124692411	0	0	0	11.75559369	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orchesella cincta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.904597768	12.46119299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.221837172	0	0	3.759462821	3.02731575	0	0	0	3.803022868	2.604669518	0	0	4.740177922	0	0	0	3.088155765	4.079913321	4.101362744	4.116684258	0	2.781957585	3.269528125	0	0	0	0	4.056124298	3.888235806	0	0	0	0	0	0	0	0	0	0	0	0	0
Strigamia maritima	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.841792173	6.616736575	4.969041235	0	6.119975789	0	0	0	0	6.189749745	0	0	4.827840072	0	0	0	0	5.591393375	0	0	0	0	0	0	0	0	0	0	0	0	0	5.878244135	0	0	0	0	0	0	0	0	6.885751924	4.649210072	0	0	0	0	0	0	0	0	0	0	4.505775523	0	0	0	0	0	0	0	0	4.998394681	0	3.636734796	0	0	0	0	0	4.972949766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.389424026	5.043453084	0
Volvox africanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0575886	6.88682869	0	8.804867315	8.132057137	0	0	12.29905091	6.904189799	5.396595535	5.499469315	0	5.061604577	4.390652536	0	0	0	0	6.370014611	0	6.187312298	0	0	8.778996559	0	0	0	0	0	0	0	0	0	0	0	0	11.57277067	6.278861574	0	7.683525608	0	0
Entamoeba histolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.338464016	3.441164777	7.86955021	9.723087315	7.782289468	7.074359701	6.642219937	10.04816398	9.064818072	8.311559976	7.974012778	6.198438403	6.909018987	8.558572787	11.94896734	6.358430324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.0652318	6.264608406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micromonas commoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.234655654	3.407915701	2.396236866	3.005244622	2.793782545	2.608548997	2.809851079	2.655056271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.480212025	0.597736152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.993855858	0	0	0	0	0	0	0	0	0	0.561633715	0	0	0.58136219	5.358041214	0.586351631	0	0	0	0	0	0.554624981	0	0	0	0	0	0	0	0	0	0	0	0	0.591061734	0	0	0	53.58422746	0	0	0	0	0	0	0	0	1.114670119	0	0	0	0	0
Nephroselmis astigmatica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.248531315	5.216186354	0	0	0	4.732219236	0	5.769022897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.266390041	6.08034646	7.822730317	0	0	0	0	0	0	0	0	7.940608609	0	5.232111017	0	0	0	0	0	0	0	5.59617409	0	0	5.494240452	8.962363425	0	0	0	5.13971642	5.642976248	0	0	6.466987683	0	0	0	0	0	0	0	0	0	0	3.733764865	0	0	0	0	5.544059315	0	7.378377381	0	4.806245735
Acropora cervicornis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.948816133	0	8.103658098	0	1.144120676	0	3.353372938	4.574263136	11.19938005	11.47554001	0	19.75962792	3.817894015	0	0	0.664274199	10.1228473	3.417009106	0	0	0	0	0	0	0	0	0	0	0	0	0	0.364955655	0	0	0	0.359268734	0	0	0	0	0	0	0	0	1.027602121	0	0	0	0	0	0	0	0	0	0	0	0	0.51106452	1.51686299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.920385546	1.73581305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micractinium conductrix	5.212431401	3.106373245	1.157193716	4.280549098	4.677600903	1.436858429	4.871114385	0	0	0	0	0	0	0	0	2.158045715	2.346607675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.06990876	0	10.28673021	0	0	3.543131221	3.424389688	3.356841831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.918365358	0	0	0.777313436	0	0.667047874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.031079073	0.899078407	0	0	0	0	0	0	0	0.874458471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dictyostelium purpureum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.103423321	0	5.946960997	10.90543009	11.03411071	9.206137813	15.54014655	9.996499064	9.313796157	12.28299977	11.73847618	8.19306825	11.08011662	10.17741065	8.604806062	0	0	9.105304409	9.522483012	8.521596374	0	6.629092826	6.165194573	8.739776861	10.78421458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
