id,name,type,shape
1,PV_02,Virus,GV
2,PV_04,Virus,GV
3,PM_07,Virus,GV
4,IM_01,Virus,GV
5,IM_16,Virus,GV
6,IM_subgroup,Virus,GV
7,Unassigned_Pimascovirales,Virus,GV
8,Unassigned_Pandoravirales,Virus,GV
9,Unassigned_Imitervirales,Virus,GV
10,Bigyra,Protozoa,Euk
11,Discoba,Protozoa,Euk
12,Choanoflagellata,Protozoa,Euk
13,Amoebozoa,Protozoa,Euk
14,Rhizaria,Protozoa,Euk
15,Arthropoda,Animal,Euk
16,Cnidaria,Animal,Euk
17,Mollusca,Animal,Euk
18,Ascomycota,Fungi,Euk
19,Basidiomycota,Fungi,Euk
20,Chytridiomycota,Fungi,Euk
21,Mucoromycota,Fungi,Euk
22,Bacillariophyta,Algae,Euk
23,Chlorophyta,Algae,Euk
24,Cryptophyceae,Algae,Euk
25,Dinophyceae,Algae,Euk
26,Haptophyta,Algae,Euk
27,Rhodophyta,Algae,Euk
