	BH10_FDSW220017130	BH12_FDSW220017132	BH14_FDSW220017134	BH15_FDSW220017135	BH2_FDSW220017122	BH4_FDSW220017124	BH6_FDSW220017126	BH8_FDSW220017128	C1_FDSW202534412	CXD_0204_FDSW210423206	CXD_0209_FDSW210423211	CXD_0210_FDSW210423212	CXD_0213_FDSW210423215	CXD_0214_FDSW210423216	CXD_0215_FDSW210423217	CXD_0801_FDSW210423161	CXD_0802_FDSW210423162	CXD_0803_FDSW210423163	CXD_0804_FDSW210423164	CXD_0805_FDSW210423165	CXD_0807_FDSW210423167	CXD_1001_FDSW210423173	CXD_1003_FDSW210423175	CXD_1004_FDSW210423176	CXD_1007_FDSW210423179	CXD_1009_FDSW210423181	CXD_1015_FDSW210423187	CXD_1201_FDSW210423188	CXD_1202_FDSW210423189	CXD_1203_FDSW210423190	CXD_1213_FDSW210423200	CXD_1214_FDSW210423201	CXD_1215_FDSW210423202	CXD_1401_FDSW210423218	CXD_1402_FDSW210423219	CXD_1408_FDSW210423225	CXD_1412_FDSW210423229	CXD_1414_FDSW210423231	CXD_1415_FDSW210423232	CXD_1604_FDSW210423236	CXD_1609_FDSW210423241	CXD_1610_FDSW210423242	CXD_1611_FDSW210423243	CXD_1612_FDSW210423244	CXD_1613_FDSW210423245	DD1_FDSW220008388	DD13_FDSW220008400	DD3_FDSW220008390	DD5_FDSW220008392	DD7_FDSW220008394	DD9_FDSW220008396	DY10_FDME210438608	DY11_FDME210438609	DY13_FDME210438611	DY15_FDME210438613	DY2_FDME210438600	DY6_FDME210438604	DY7_FDME210438605	E10_FDSW202534389	E100_FDSW202534392	E150_FDSW202534393	E20_FDSW202534390	E5_FDSW202534388	E50_FDSW202534391	LYG1_FDME210455382	LYG11_FDME210455392	LYG13_FDME210455394	LYG3_FDME210455384	LYG5_FDME210455386	LYG6_FDME210455387	LYG7_FDME210455388	N10_FDSW202534407	N100_FDSW202534410	N150_FDSW202534411	N20_FDSW202534408	N5_FDSW202534406	N50_FDSW202534409	NB1_FDME210455352	NB11_FDME210455362	NB12_FDME210455363	NB15_FDME210455366	NB2_FDME210455353	NB4_FDME210455355	NB6_FDME210455357	NB7_FDME210455358	S10_FDSW202534395	S100_FDSW202534398	S150_FDSW202534399	S20_FDSW202534396	S5_FDSW202534394	S50_FDSW202534397	ST1_FDME220007465	ST10_L1	ST12_L1	ST13_L1	ST15_L1	ST3_L1	ST7_FDME220007471	ST9_L1	SY11_FDME210455407	SY12_FDME210455408	SY13_FDME210455409	SY15_FDME210455411	SY3_FDME210455399	SY7_FDME210455403	SY9_FDME210455405	W10_FDSW202534401	W100_FDSW202534404	W150_FDSW202534405	W20_FDSW202534402	W5_FDSW202534400	W50_FDSW202534403	WZ1_L1	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471	WZ3_L1	WZ5_L1	WZ7_FDME210455463	XM10_FDME220007444	XM12_FDME220007446	XM14_FDME220007448	XM15_FDME220007449	XM2_FDME220007436	XM4_FDME220007438	XM6_FDME220007440	XM8_FDME220007442	YC1_FDME220007405	YC11_FDME220007415	YC13_FDME220007417	YC15_FDME220007419	YC3_FDME220007407	YC5_FDME220007409	YC7_FDME220007411	YC9_FDME220007413	ZH1_FDSW220008784	ZH11_FDSW220008794	ZH13_FDSW220008796	ZH15_FDSW220008798	ZH3_FDSW220008786	ZH5_FDSW220008788	ZH7_FDSW220008790	ZH9_FDSW220008792
GD_ST_2021_04_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.69230043	10.24824906	5.504034636	1.055325895	1.182448659	3.978897381	12.68528892	2.308412106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_2	0	0	0	0	0	0	0	0	0	0.988009925	1.975808516	1.694745705	1.185768015	1.262630691	2.177409012	0	1.048929247	0	0	0	0	0	1.011985226	0	1.490563776	1.572169884	0.900854912	1.77723703	0	0	2.101752671	1.971506617	1.077869727	0	0	0	0	1.257727691	1.942165948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.772730239	0	0	0	0	0	0.898475668	0	0	0	0	0	0	0	0	0	0	0	0	2.309592305	2.87457367	3.066267721	2.708314399	0	2.376675964	3.255036539	3.383010571	0	0	0	0	0	0	1.09227938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.758876463	3.126560904	4.805522448	2.615958241	1.991803092	2.304842394	3.158822379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.374424286	8.898697651	8.935247409	10.75755424	11.58678052	5.566559304	8.654672033	13.10162129
GX_BH_2021_04_15_bin_1	9.275303752	16.83095129	12.81056697	16.20157104	13.39507904	16.84695608	17.36467268	22.72215045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GX_BH_2021_04_15_bin_2	10.46758783	8.269087932	2.939835135	4.004369323	13.42526387	11.73450245	12.50310604	16.23279551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GX_BH_2021_04_15_bin_3	59.74143677	22.70014047	6.422220376	7.32055645	71.48012837	78.01504546	19.85847201	10.62758355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN_SY_2021_04_15_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.666323736	16.96277244	6.575677299	29.73613339	9.732090173	2.259610262	10.69611926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN_SY_2021_04_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.71398179	42.94584602	8.710333947	6.861501515	8.955202897	2.125337593	19.64858808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_LYG_2021_05_15_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.42567172	30.92183773	0	26.89218022	22.86485775	7.474847875	1.808776533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_LYG_2021_05_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.28960137	18.97614503	0	31.17270169	19.13827279	6.09955952	1.332737999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.52835097	10.5734159	9.038309248	8.005629048	8.271117278	6.773232635	7.583102954	6.910066579	0	0	0	0	0	0	0	0
