name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray,SES.ij.bray,RC.ij.bray
A1-20-normal,A1-100-normal,0.47720522,0.283136363,0.593322016,-0.405024688,0.432698266,-2.454561288,-0.988
A1-40-normal,A1-100-normal,0.74710945,0.418876712,0.560663116,-0.564167542,0.243986787,-4.885323168,-1
A1-60-normal,A1-100-normal,0.71037595,0.428741728,0.603542009,-0.355223899,0.305991685,-4.357570033,-1
A1-80-normal,A1-100-normal,0.77626865,0.424103702,0.546336249,-0.63398063,0.212247495,-4.973441766,-1
A3-100-normal,A1-100-normal,0.69045269,0.393746666,0.570273201,-0.517338764,0.291176189,-4.362564173,-1
A3-20-normal,A1-100-normal,0.63016811,0.406633532,0.645277864,-0.151850142,0.402187088,-3.347036915,-1
A3-40-normal,A1-100-normal,0.70618072,0.403456,0.571321177,-0.512232106,0.281396136,-4.051431518,-1
A3-60-normal,A1-100-normal,0.47950595,0.363440368,0.757947567,0.397175649,0.619749006,-2.376158982,-0.998
A3-80-normal,A1-100-normal,0.49608487,0.346843602,0.699161823,0.110719853,0.539408666,-3.080876719,-1
A5-100-normal,A1-100-normal,0.69127254,0.357757576,0.517534772,-0.774326732,0.248780195,-4.667426303,-1
A5-20-normal,A1-100-normal,0.56462485,0.384945455,0.681772073,0.02598171,0.482602106,-2.377211184,-0.99
A5-40-normal,A1-100-normal,0.5139246,0.382891091,0.745033593,0.334247418,0.586837261,-2.48853254,-0.998
A5-60-normal,A1-100-normal,0.59231254,0.39846591,0.672729147,-0.018083373,0.455939641,-3.361222231,-1
A5-80-normal,A1-100-normal,0.75330667,0.395529413,0.525057628,-0.737668766,0.214283734,-4.799152063,-1
B1-100-normal,A1-100-normal,0.62523839,0.410047249,0.655825451,-0.100453032,0.416606587,-2.895152253,-1
B1-20-normal,A1-100-normal,0.64690852,0.437709919,0.676617954,0.000866314,0.424883958,-3.273410984,-1
B1-40-normal,A1-100-normal,0.683944,0.429067568,0.627343128,-0.239243936,0.347283757,-3.884538954,-1
B1-60-normal,A1-100-normal,0.4560616,0.351614038,0.770979266,0.460677536,0.646783325,-2.269488039,-0.982
B1-80-normal,A1-100-normal,0.34466282,0.281557822,0.81690802,0.684482779,0.745154188,-1.76698031,-0.948
B3-100-normal,A1-100-normal,0.63706414,0.376361904,0.590775529,-0.41743341,0.343810979,-3.396636344,-1
B3-20-normal,A1-100-normal,0.57689923,0.42959375,0.744659947,0.332426688,0.552354041,-2.193020401,-0.968
B3-40-normal,A1-100-normal,0.49379199,0.380170613,0.769900324,0.455419985,0.628769335,-2.32897466,-0.996
B3-60-normal,A1-100-normal,0.60873113,0.395746988,0.650117874,-0.128265362,0.42096751,-3.238769585,-1
B3-80-normal,A1-100-normal,0.55741029,0.372577543,0.668408083,-0.039139394,0.471501357,-3.013412904,-1
B5-100-normal,A1-100-normal,0.8102201,0.384000007,0.473945299,-0.986732945,0.146015085,-5.516700593,-1
B5-20-normal,A1-100-normal,0.4755183,0.368782221,0.775537389,0.482888717,0.644397515,-2.489601226,-0.992
B5-40-normal,A1-100-normal,0.45260569,0.335982459,0.742329287,0.321069664,0.611951948,-2.504803095,-0.994
B5-60-normal,A1-100-normal,0.65166431,0.413344267,0.634290171,-0.205391836,0.376619356,-3.298906464,-1
B5-80-normal,A1-100-normal,0.47910516,0.363541284,0.758792254,0.401291703,0.62101588,-2.386910983,-0.996
C1_FDSW202534412-1r,A1-100-normal,0.34838077,0.410449613,0.904746759,1.112510299,0.767929515,0.852038762,0.6
C1-100-normal,A1-100-normal,0.6283885,0.373700937,0.594697288,-0.398323155,0.35286074,-3.326953764,-1
C1-20-normal,A1-100-normal,0.4883084,0.358621359,0.734415707,0.282507749,0.58591653,-2.422344035,-0.988
C1-40-normal,A1-100-normal,0.40896009,0.320429688,0.783523124,0.521802236,0.681450364,-2.085158146,-0.988
C1-60-normal,A1-100-normal,0.62211376,0.369042948,0.593208142,-0.405579579,0.355278055,-3.690014548,-1
C1-80-normal,A1-100-normal,0.64862009,0.400248441,0.617076848,-0.289270273,0.361530377,-3.7774421,-1
C3-100-normal,A1-100-normal,0.72339337,0.395901643,0.547284036,-0.629362176,0.250592294,-4.333746402,-1
C3-20-normal,A1-100-normal,0.59601633,0.415951608,0.697886261,0.104504192,0.482724817,-2.574836839,-0.994
C3-40-normal,A1-100-normal,0.53039084,0.370534035,0.698605644,0.10800966,0.521190387,-2.80939905,-1
C3-60-normal,A1-100-normal,0.51202249,0.355681603,0.694660117,0.088783585,0.526104044,-2.944521733,-0.998
C3-80-normal,A1-100-normal,0.53420447,0.370153059,0.692905208,0.080232124,0.512429493,-3.084642643,-1
