	A1-100-normal	A1-20-normal	A1-40-normal	A1-60-normal	A1-80-normal	A3-100-normal	A3-20-normal	A3-40-normal	A3-60-normal	A3-80-normal	A5-100-normal	A5-20-normal	A5-40-normal	A5-60-normal	A5-80-normal	B1-100-normal	B1-20-normal	B1-40-normal	B1-60-normal	B1-80-normal	B3-100-normal	B3-20-normal	B3-40-normal	B3-60-normal	B3-80-normal	B5-100-normal	B5-20-normal	B5-40-normal	B5-60-normal	B5-80-normal	C1_FDSW202534412-1r	C1-100-normal	C1-20-normal	C1-40-normal	C1-60-normal	C1-80-normal	C3-100-normal	C3-20-normal	C3-40-normal	C3-60-normal	C3-80-normal	C5-100-normal	C5-20-normal	C5-40-normal	C5-60-normal	C5-80-normal	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r	DD1_FDSW220008388-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DY10_FDME210438608-1r	DY11_FDME210438609-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	DY2_FDME210438600-1b	DY6_FDME210438604-1r	DY7_FDME210438605-1r	E10_FDSW202534389-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	E20_FDSW202534390-1r	E5_FDSW202534388-1r	E50_FDSW202534391-1r	LYG1_FDME210455382-1r	LYG11_FDME210455392-2r	LYG13_FDME210455394-1a	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	N10_FDSW202534407-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	N20_FDSW202534408-1r	N5_FDSW202534406-1r	N50_FDSW202534409-1r	NB1_FDME210455352-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	S10_FDSW202534395-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	S20_FDSW202534396-1r	S5_FDSW202534394-1r	S50_FDSW202534397-1r	SY11_FDME210455407-1r	SY12_FDME210455408-1r	SY13_FDME210455409-2a	SY15_FDME210455411-2a	SY3_FDME210455399-2a	SY7_FDME210455403-2a	SY9_FDME210455405-2a	W10_FDSW202534401-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r	W20_FDSW202534402-1r	W5_FDSW202534400-1r	W50_FDSW202534403-1r	WZ1_L1	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	YC1_FDME220007405-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	ZH1_FDSW220008784-1r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r
JS_YC_2021_05_15_bin_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.26926407	14.33387518	2.223154495	0	16.44630735	4.549496892	2.22829786	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.45898178	45.96026096	13.09685531	34.4269435	145.6216976	123.4918984	7.666325387	33.59761174	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_normal_bin_17	3.703207086	1.725797132	5.144296927	7.635584919	6.410159327	8.646013423	7.000292325	3.475715876	9.788684916	10.71185459	1.617595162	1.058956451	6.546947811	6.314210152	4.657436902	2.798817149	2.210982353	4.403723776	11.80191371	12.68940448	1.952179137	1.851015194	7.033575656	6.988677739	7.764611596	2.510576231	8.559601215	11.77468787	1.622535876	9.392357608	2.122633887	2.16993503	4.61599654	11.29747687	7.233896369	7.035583414	4.68457634	1.778914589	9.197037956	10.41296836	8.817022264	3.690244121	1.18751302	6.748646621	7.221524287	4.458720723	1.029894497	2.28830189	2.124289655	0	0	0	0	5.697218589	3.645513781	3.578671965	0	1.468808965	1.028461245	0	2.434867066	1.495577822	1.635569734	4.477394789	0	2.608163672	5.190411324	5.626756177	3.783692928	1.834263204	3.57329252	1.46417223	6.566939432	2.805232378	5.131836641	2.849567588	2.801485951	3.770185914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.199340524	1.223236119	3.555221358	2.815659611	2.878668737	0	0	0	0	0	0	0	0	3.681705397	0	1.474094154	1.815401608	3.040578928	0	0	0	0	0	0	0	0	0	2.585205484	1.069905595	1.4539349	1.716264194	3.337771633	1.443306116	0	0	0	0	0	0	0	2.760980263	4.109528362	2.479616277	2.359276201	4.207732597	1.393091507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_9	0	0	3.825218893	1.051761839	0.881529442	2.3525331	6.040825753	0.966951008	3.447980632	3.212734495	0	0	9.781291382	3.69122135	1.016547581	1.997363189	1.113925347	1.610922968	4.519876413	19.59641001	0	1.346389311	11.87599129	2.576377523	2.022347527	0	8.489414969	4.860859406	0	3.816207005	7.661646475	0	8.756304379	11.97254384	1.448883086	1.517826195	1.083437601	0	3.430738668	2.721261	2.306323376	0	0	3.934473136	6.450168416	1.181915651	0.955765639	8.647891873	1.09045126	0	0	0	0	5.292985326	1.517330951	1.621049507	1.079626873	2.352399128	1.439910823	1.445441598	0.910699938	3.106970103	3.434430588	2.434451663	1.926771527	1.70080533	4.160119745	5.094242504	2.653367364	0.967410769	2.50673749	1.695399926	3.034002683	3.352204448	2.914229036	9.318241616	0	3.538525759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.877279687	0	0.752303203	9.919016885	5.733218845	0.937378504	0	0	0	0	0	0	0	17.15625786	1.072201727	1.153389735	3.641108646	5.952971268	0	0	0	0	0	0	0	0	0	2.819653501	0.962292286	1.406338518	1.844152731	5.283807825	0	0	0	0	0	0	0	0	3.946739859	5.007102108	2.656292389	2.459709725	6.517892598	0.941447823	0	0	1.214193295	0	0.959128828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.611602732	3.049887687	2.317394061	1.048331754	0.908885025	3.935493937	5.266463756	3.340040299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.86316443	13.55508943	12.62178199	12.33673237	10.17449591	14.28736528	11.20689155	13.14324728
SD_QD_2020_06_15_bin_14	3.312379053	1.16890254	4.056460002	4.898005268	4.095368807	5.511580622	4.473152352	4.825559798	7.557330108	7.231989707	3.052644368	3.539505854	5.576464391	4.839172293	5.277062047	3.514805442	4.602301502	4.823913372	7.343682515	7.982774577	3.338807932	3.762068206	5.223122346	4.418302183	5.013850406	3.038107145	6.361859761	6.295610033	3.986775843	5.155800761	1.782182035	3.667622466	6.401122032	6.981834626	4.033007905	4.836739759	4.640993276	3.660616911	3.566830533	4.698911914	4.831495056	3.148314345	3.244622142	3.941288472	4.422856276	3.550914405	0	1.442295096	1.323041985	0	0	1.225722602	0	2.529655105	0	0	0	0	0	0	0	0	0	0	0	0	1.548545579	3.24255008	1.425988783	1.180230754	1.144526231	0.959633871	3.283881818	0.948091146	0	2.53117913	1.366306367	0.823380871	2.312703438	2.463298086	1.292050754	1.473446934	1.058680267	0	0	0	0	1.597318333	0	0	0	0	0	0	0	0	0	2.377777451	3.654738824	2.796411601	2.033185631	1.789578617	3.303909638	0	0	0	0	0	0	0	2.27121024	4.265372136	2.675750917	1.270556073	1.540849296	3.629936499	0	0	0	0	0	0	0	0	1.381354554	1.022677183	1.77661631	1.49699401	1.907175993	1.012276817	0	0	0	0	0	0	0	1.282536883	1.090402277	0	1.401532112	1.570091536	1.158578264	0	0	0	0	0.835262607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_26	0	0	3.435576201	0	0	0	3.551852484	0.964698551	1.018970974	1.209139618	0	0	4.369758685	1.465259744	0	1.620659426	1.494872196	1.155164323	2.202180891	10.85348548	0.865879713	1.218744695	5.237281647	1.511780305	1.427453245	0.886521397	6.051077717	3.279594312	0.938206165	3.20906594	1.871372865	0	5.40443541	6.825730803	0	0.874149688	0	1.165104501	2.422535335	1.051521617	1.549507988	0.933856981	0.97437141	3.094031794	3.864565581	0	0.974777889	0	0.946226081	0	0	0.869692164	0	3.763409331	0	1.490653039	0	0	0	1.03528554	0	0	0	2.403082158	0	1.038115857	1.233720914	2.953012427	1.661803228	0.920780978	0	0	2.125031139	1.687137227	3.181850755	3.376350791	2.514439945	1.515326812	1.407835167	1.146478768	0.882975025	1.082392378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.069888248	3.30011013	2.297763175	1.938957013	2.633061602	5.432706336	0	0	0	0	0	0	0	1.687947746	5.075039092	4.32263313	1.151527572	1.675544189	3.545985204	0	0	0	0	0	0	0	0	1.498602264	1.292865768	1.58428787	2.133629091	2.280545785	1.286296821	0	0	0	0	0	0	0	1.579333577	1.254395031	1.038597279	1.721373787	1.798692812	1.217693796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_08_15_bin_3	6.753760509	4.087703085	6.927639472	2.100857832	2.146449894	0	1.037795471	2.544715222	0	0	0	0	0	0	0	0	0	0	0	0	0	1.749588898	0	0	0	0	2.747263571	0	1.785412123	0	0	0	0	0	0	0	0	0	0	0	0	0.887779587	0	0.884929102	1.768932882	0	2.473080667	0	13.83271515	0	0	0.857640172	20.49438011	4.68766723	27.76421102	35.56853781	32.17380784	1.346966081	5.379977764	7.248687759	20.34115652	0	0	0	2.360634928	7.060798939	0	0	2.615146732	2.439969594	5.422129256	33.40839233	1.282296307	0	0	0	15.80420778	2.659150639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.56841552	21.07850594	18.51256679	17.62145227	10.98333783	29.50186509	30.61087982	27.72059183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.13884319	9.345895655	11.07671508	13.70140063	24.06764135	13.30440166	15.95659825	9.030576456	3.442981776	8.274856214	5.371892325	5.960356676	3.876072871	4.421758282	3.654275879	9.955618128	0	0	0	0	0	0	0	0
JS_LYG_2021_05_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.621280604	0	0	55.03420078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
