group,name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray,SES.ij.bray,RC.ij.bray
a,BH4_FDSW220017124-1r,BH2_FDSW220017122-1r,0.943007672,0.08832353,0.093661518,-2.69744199,0.005855134,-4.730993714,-1
a,BH6_FDSW220017126-1r,BH2_FDSW220017122-1r,0.618221581,0.067945578,0.109904895,-2.620133986,0.045018098,-4.15962673,-1
a,BH8_FDSW220017128-1r,BH2_FDSW220017122-1r,0.50645343,0.07372789,0.145576841,-2.450358521,0.077567865,-3.158705294,-0.972
a,BH10_FDSW220017130-1r,BH2_FDSW220017122-1r,0.894163376,0.086813561,0.097089148,-2.681128677,0.011252453,-4.695528121,-1
a,BH12_FDSW220017132-1r,BH2_FDSW220017122-1r,0.607311564,0.070772413,0.116533946,-2.588583978,0.049246851,-3.913170294,-0.998
a,BH14_FDSW220017134-1r,BH2_FDSW220017122-1r,0.368092522,0.045466667,0.123519671,-2.555336428,0.081770852,-3.895525461,-1
a,BH15_FDSW220017135-1r,BH2_FDSW220017122-1r,0.392920615,0.046064,0.117234877,-2.585247996,0.074607602,-3.785401109,-0.988
a,DD1_FDSW220008388-1r,BH2_FDSW220017122-1r,0,0.009029128,0.990970872,1.573172053,0,0.320052022,0.093
a,DD3_FDSW220008390-2r,BH2_FDSW220017122-1r,0,0.001959594,0.998040406,1.606818474,0,0.32758555,0.097
a,DD5_FDSW220008392-2r,BH2_FDSW220017122-1r,0,0.005346532,0.994653468,1.590698837,0,0.314328169,0.09
a,DD7_FDSW220008394-1r,BH2_FDSW220017122-1r,0,0.002303028,0.997696972,1.60518395,0,0.358524062,0.114
a,DD9_FDSW220008396-1r,BH2_FDSW220017122-1r,0,0.001959594,0.998040406,1.606818475,0,0.32758555,0.097
a,DD13_FDSW220008400-2r,BH2_FDSW220017122-1r,0,0.00408,0.99592,1.596726711,0,0.33685629,0.102
a,DY2_FDME210438600-1b,BH2_FDSW220017122-1r,0,0.032479339,0.967520661,1.461564164,0,0.318146467,0.097
a,DY6_FDME210438604-1r,BH2_FDSW220017122-1r,0,0.038666666,0.961333334,1.432116477,0,0.275655944,0.083
a,DY7_FDME210438605-1r,BH2_FDSW220017122-1r,0,0.03488189,0.965118111,1.450129574,0,0.305940417,0.094
a,DY10_FDME210438608-1r,BH2_FDSW220017122-1r,0,0.035237411,0.964762589,1.44843752,0,0.284353332,0.089
a,DY11_FDME210438609-1r,BH2_FDSW220017122-1r,0,0.027362067,0.972637933,1.48591908,0,0.316366572,0.093
a,DY13_FDME210438611-1b,BH2_FDSW220017122-1r,0,0.040155041,0.959844959,1.425032772,0,0.317438025,0.098
a,DY15_FDME210438613-1r,BH2_FDSW220017122-1r,0,0.029779527,0.970220473,1.47441353,0,0.280796086,0.079
a,LYG1_FDME210455382-1r,BH2_FDSW220017122-1r,0,0.095955059,0.904044941,1.159460663,0,0.964268213,0.731
a,LYG3_FDME210455384-1r,BH2_FDSW220017122-1r,0,0.10729293,0.89270707,1.105499703,0,0.974274137,0.742
a,LYG5_FDME210455386-1r,BH2_FDSW220017122-1r,0,0.072486485,0.927513515,1.271155941,0,0.754624978,0.533
a,LYG6_FDME210455387-1r,BH2_FDSW220017122-1r,0,0.044771656,0.955228345,1.403060664,0,0.742750932,0.521
a,LYG7_FDME210455388-1r,BH2_FDSW220017122-1r,0,0.033310347,0.966689653,1.457609103,0,0.725861508,0.489
a,LYG11_FDME210455392-2r,BH2_FDSW220017122-1r,0,0.085430383,0.914569617,1.209551335,0,0.741447596,0.513
a,LYG13_FDME210455394-1a,BH2_FDSW220017122-1r,0,0.114213198,0.885786802,1.07256369,0,0.727478852,0.504
a,NB1_FDME210455352-1r,BH2_FDSW220017122-1r,0,0.093965909,0.906034091,1.168927734,0,0.930219446,0.73
a,NB2_FDME210455353-1r,BH2_FDSW220017122-1r,0,0.047428567,0.952571433,1.390415479,0,0.834497546,0.602
a,NB4_FDME210455355-1r,BH2_FDSW220017122-1r,0,0.09804598,0.90195402,1.149509225,0,0.969778764,0.757
a,NB6_FDME210455357-1r,BH2_FDSW220017122-1r,0,0.106345546,0.893654454,1.110008642,0,0.950588764,0.734
a,NB7_FDME210455358-1r,BH2_FDSW220017122-1r,0,0.094941858,0.905058142,1.164282845,0,0.884698151,0.658
