,sample1,sample2,Heterogeneous.Selection,Homogeneous.Selection,Dispersal.Limitation,Homogenizing.Dispersal,Drift.and.Others
1,DD3_FDSW220008390-2r,DD1_FDSW220008388-1r,0,0.239804387,0.224031501,0,0.536164112
2,DD5_FDSW220008392-2r,DD1_FDSW220008388-1r,0.01053824,0.667097226,0,0,0.322364534
3,DD7_FDSW220008394-1r,DD1_FDSW220008388-1r,0,0.26036119,0,0,0.73963881
4,DD9_FDSW220008396-1r,DD1_FDSW220008388-1r,0,0.643855301,0,0,0.356144699
5,DD11_FDSW220008398-1r,DD1_FDSW220008388-1r,0,0.572153011,0,0,0.427846989
6,DD13_FDSW220008400-2r,DD1_FDSW220008388-1r,0.217597842,0.315064407,0,0,0.467337751
7,DD15_FDSW220008402-2r,DD1_FDSW220008388-1r,0,0.061130497,0,0,0.938869503
8,DY2_FDME210438600-1b,DD1_FDSW220008388-1r,0,0,0.219822903,0,0.780177097
9,DY6_FDME210438604-1r,DD1_FDSW220008388-1r,0,0,0.410171633,0,0.589828367
10,DY7_FDME210438605-1r,DD1_FDSW220008388-1r,0,0,0.502772948,0,0.497227052
11,DY10_FDME210438608-1r,DD1_FDSW220008388-1r,0,0,0.191360886,0,0.808639114
12,DY11_FDME210438609-1r,DD1_FDSW220008388-1r,0,0,0.478620041,0,0.521379959
13,DY13_FDME210438611-1b,DD1_FDSW220008388-1r,0,0,0.187822932,0,0.812177068
14,DY15_FDME210438613-1r,DD1_FDSW220008388-1r,0,0,0.502772948,0,0.497227052
15,LYG1_FDME210455382-1r,DD1_FDSW220008388-1r,0,0,0.312757018,0,0.687242982
16,LYG3_FDME210455384-1r,DD1_FDSW220008388-1r,0,0.061595564,0.315845062,0,0.622559375
17,LYG5_FDME210455386-1r,DD1_FDSW220008388-1r,0,0.165087843,0.437472844,0,0.397439312
18,LYG6_FDME210455387-1r,DD1_FDSW220008388-1r,0,0.305132402,0,0,0.694867598
19,LYG7_FDME210455388-1r,DD1_FDSW220008388-1r,0,0.557223513,0,0,0.442776487
20,LYG11_FDME210455392-2r,DD1_FDSW220008388-1r,0.344139674,0,0,0,0.655860326
21,LYG13_FDME210455394-1a,DD1_FDSW220008388-1r,0,0.506844942,0,0,0.493155058
22,NB1_FDME210455352-1r,DD1_FDSW220008388-1r,0,0,0.743596284,0,0.256403716
23,NB2_FDME210455353-1r,DD1_FDSW220008388-1r,0,0,0.573823153,0,0.426176847
24,NB4_FDME210455355-1r,DD1_FDSW220008388-1r,0,0,0.761454724,0,0.238545276
25,NB6_FDME210455357-1r,DD1_FDSW220008388-1r,0,0,0.840237643,0,0.159762357
26,NB7_FDME210455358-1r,DD1_FDSW220008388-1r,0,0,0.750734052,0,0.249265948
27,NB11_FDME210455362-1b,DD1_FDSW220008388-1r,0.263574939,0,0.457076265,0,0.279348796
28,NB12_FDME210455363-1r,DD1_FDSW220008388-1r,0.489842423,0,0.096731831,0,0.413425746
29,NB15_FDME210455366-1r,DD1_FDSW220008388-1r,0.356060925,0,0.178673281,0,0.465265795
30,SY3_FDME210455399-2a,DD1_FDSW220008388-1r,0.577344712,0,0,0,0.422655288
31,SY7_FDME210455403-2a,DD1_FDSW220008388-1r,0.630707371,0,0,0,0.369292629
32,SY9_FDME210455405-2a,DD1_FDSW220008388-1r,0.630707371,0,0,0,0.369292629
33,SY11_FDME210455407-1r,DD1_FDSW220008388-1r,0.630707371,0,0,0,0.369292629
34,SY12_FDME210455408-1r,DD1_FDSW220008388-1r,0.630707371,0,0,0,0.369292629
35,SY13_FDME210455409-2a,DD1_FDSW220008388-1r,0.630707371,0,0,0,0.369292629
36,SY15_FDME210455411-2a,DD1_FDSW220008388-1r,0.630707371,0,0,0,0.369292629
37,WZ1_L1,DD1_FDSW220008388-1r,0.359655865,0,0.16220716,0,0.478136975
38,WZ3_L1,DD1_FDSW220008388-1r,0.505727997,0,0,0,0.494272003
39,WZ5_L1,DD1_FDSW220008388-1r,0.449652943,0,0,0,0.550347057
40,WZ7_FDME210455463-1r,DD1_FDSW220008388-1r,0.409750347,0,0,0,0.590249653
41,WZ10_L1,DD1_FDSW220008388-1r,0.464993924,0,0.175468297,0,0.359537779
42,WZ11_L1,DD1_FDSW220008388-1r,0.412907451,0,0.302948533,0,0.284144016
43,WZ14_L1,DD1_FDSW220008388-1r,0.513500225,0,0,0,0.486499775
44,WZ15_FDME210455471-1r,DD1_FDSW220008388-1r,0.49472716,0,0.144621634,0,0.360651206
45,YC1_FDME220007405-1r,DD1_FDSW220008388-1r,0.293061435,0,0.153576165,0,0.5533624
46,YC3_FDME220007407-1r,DD1_FDSW220008388-1r,0,0,0.415645678,0,0.584354322
47,YC5_FDME220007409-1r,DD1_FDSW220008388-1r,0,0,0.399582217,0,0.600417783
48,YC7_FDME220007411-1a,DD1_FDSW220008388-1r,0.314871613,0,0.129502998,0,0.555625389
49,YC9_FDME220007413-1r,DD1_FDSW220008388-1r,0.190180708,0,0.20473234,0,0.605086952
50,YC11_FDME220007415-1r,DD1_FDSW220008388-1r,0,0,0.626765846,0,0.373234154
51,YC13_FDME220007417-1r,DD1_FDSW220008388-1r,0.234919482,0,0.206281139,0,0.55879938
52,YC15_FDME220007419-1r,DD1_FDSW220008388-1r,0.232103274,0,0.234205054,0,0.533691671
53,ZH1_FDSW220008784-1r,DD1_FDSW220008388-1r,0,0,0.392032668,0,0.607967332
54,ZH3_FDSW220008786-1r,DD1_FDSW220008388-1r,0,0,0,0,1
55,ZH5_FDSW220008788-1r,DD1_FDSW220008388-1r,0,0,0.366258235,0,0.633741765
56,ZH7_FDSW220008790-1r,DD1_FDSW220008388-1r,0,0,0,0,1
57,ZH9_FDSW220008792-2r,DD1_FDSW220008388-1r,0,0,0,0,1
58,ZH11_FDSW220008794-2r,DD1_FDSW220008388-1r,0,0,0,0,1
59,ZH13_FDSW220008796-2r,DD1_FDSW220008388-1r,0,0,0.310572826,0,0.689427174
60,ZH15_FDSW220008798-2r,DD1_FDSW220008388-1r,0,0,0,0,1
61,C1_FDSW202534412-1r,DD1_FDSW220008388-1r,0,0.016511522,0.498242261,0,0.485246217
62,E5_FDSW202534388-1r,DD1_FDSW220008388-1r,0,0.014350664,0.373741581,0,0.611907755
63,E10_FDSW202534389-1r,DD1_FDSW220008388-1r,0,0.016675942,0.376261414,0,0.607062644
64,E20_FDSW202534390-1r,DD1_FDSW220008388-1r,0,0.015989535,0.523681312,0,0.460329153
65,E50_FDSW202534391-1r,DD1_FDSW220008388-1r,0,0.01600637,0.567281411,0.136500792,0.280211426
66,E100_FDSW202534392-1r,DD1_FDSW220008388-1r,0,0.026247017,0.36255378,0,0.611199202
67,E150_FDSW202534393-1r,DD1_FDSW220008388-1r,0,0.021011139,0.361773543,0,0.617215319
68,N5_FDSW202534406-1r,DD1_FDSW220008388-1r,0.14359601,0.014792794,0.489206709,0,0.352404487
