,Hes,Hos,DL,HD,DR,
GD_ST_2021_04_15_bin_1_149,12.1126761,0,71.8309859,0,16.056338,GD_ST_2021_04_15_bin_1_149 16.056338 0 71.8309859 0 12.1126761
GD_ZH_2021_05_15_bin_2_75,0.8296353,0.4341115,6.4923789,5.6338028,86.6100714,GD_ZH_2021_05_15_bin_2_75 86.6100714 5.6338028 6.4923789 0.4341115 0.8296353
GX_BH_2021_04_15_bin_1_201,7.1126761,1.971831,21.5492958,0,69.3661972,GX_BH_2021_04_15_bin_1_201 69.3661972 0 21.5492958 1.971831 7.1126761
GX_BH_2021_04_15_bin_2_73,3.2394366,1.971831,0,0,94.7887324,GX_BH_2021_04_15_bin_2_73 94.7887324 0 0 1.971831 3.2394366
GX_BH_2021_04_15_bin_3_312,22.6760563,1.971831,4.9295775,0,70.4225352,GX_BH_2021_04_15_bin_3_312 70.4225352 0 4.9295775 1.971831 22.6760563
HN_SY_2021_04_15_bin_2_19,2.4879615,1.6853933,15.6500803,0,80.176565,HN_SY_2021_04_15_bin_2_19 80.176565 0 15.6500803 1.6853933 2.4879615
HN_SY_2021_04_15_bin_6_65,1.1235955,0.4815409,2.247191,0,96.1476726,HN_SY_2021_04_15_bin_6_65 96.1476726 0 2.247191 0.4815409 1.1235955
JS_LYG_2021_05_15_bin_2_256,8.4033613,0.5602241,43.3239963,0,47.7124183,JS_LYG_2021_05_15_bin_2_256 47.7124183 0 43.3239963 0.5602241 8.4033613
JS_LYG_2021_05_15_bin_6_92,11.4845938,0,0.6535948,0,87.8618114,JS_LYG_2021_05_15_bin_6_92 87.8618114 0 0.6535948 0 11.4845938
JS_YC_2021_05_15_bin_1_162,10.7042254,1.971831,64.3661972,0,22.9577465,JS_YC_2021_05_15_bin_1_162 22.9577465 0 64.3661972 1.971831 10.7042254
SD_QD_2020_06_15_bin_1_178,0.6391235,0,5.8662406,12.1889979,81.305638,SD_QD_2020_06_15_bin_1_178 81.305638 12.1889979 5.8662406 0 0.6391235
SD_QD_2020_06_15_bin_28_122,2.3931781,0,4.2820466,1.3478819,91.9768935,SD_QD_2020_06_15_bin_28_122 91.9768935 1.3478819 4.2820466 0 2.3931781
SD_QD_2020_06_15_bin_42_268,0.6813958,0,5.3685732,11.7695643,82.1804667,SD_QD_2020_06_15_bin_42_268 82.1804667 11.7695643 5.3685732 0 0.6813958
SD_QD_2020_06_15_bin_46_157,0,0,5.3571429,4.5414462,90.1014109,SD_QD_2020_06_15_bin_46_157 90.1014109 4.5414462 5.3571429 0 0
