sample1,sample2,Heterogeneous.Selection,Homogeneous.Selection,Dispersal.Limitation,Homogenizing.Dispersal,Drift.and.Others
BH4_FDSW220017124-1r,BH2_FDSW220017122-1r,0,1,0,0,0
BH6_FDSW220017126-1r,BH2_FDSW220017122-1r,0,1,0,0,0
BH8_FDSW220017128-1r,BH2_FDSW220017122-1r,0,1,0,0,0
BH10_FDSW220017130-1r,BH2_FDSW220017122-1r,0,1,0,0,0
BH12_FDSW220017132-1r,BH2_FDSW220017122-1r,0,1,0,0,0
BH14_FDSW220017134-1r,BH2_FDSW220017122-1r,0,1,0,0,0
BH15_FDSW220017135-1r,BH2_FDSW220017122-1r,0,1,0,0,0
DD1_FDSW220008388-1r,BH2_FDSW220017122-1r,0,0,0,0,1
DD3_FDSW220008390-2r,BH2_FDSW220017122-1r,0,0,0,0,1
DD5_FDSW220008392-2r,BH2_FDSW220017122-1r,0,0,0,0,1
DD7_FDSW220008394-1r,BH2_FDSW220017122-1r,0,0,0,0,1
DD9_FDSW220008396-1r,BH2_FDSW220017122-1r,0,0,0,0,1
DD13_FDSW220008400-2r,BH2_FDSW220017122-1r,0,0,0,0,1
LYG1_FDME210455382-1r,BH2_FDSW220017122-1r,0,0,0,0,1
LYG3_FDME210455384-1r,BH2_FDSW220017122-1r,0,0,0,0,1
LYG5_FDME210455386-1r,BH2_FDSW220017122-1r,0,0,0,0,1
LYG6_FDME210455387-1r,BH2_FDSW220017122-1r,0,0,0,0,1
LYG7_FDME210455388-1r,BH2_FDSW220017122-1r,0,0,0,0,1
LYG11_FDME210455392-2r,BH2_FDSW220017122-1r,0,0,0,0,1
LYG13_FDME210455394-1a,BH2_FDSW220017122-1r,0,0,0,0,1
NB1_FDME210455352-1r,BH2_FDSW220017122-1r,0,0,0,0,1
NB2_FDME210455353-1r,BH2_FDSW220017122-1r,0,0,0,0,1
NB4_FDME210455355-1r,BH2_FDSW220017122-1r,0,0,0,0,1
NB6_FDME210455357-1r,BH2_FDSW220017122-1r,0,0,0,0,1
NB7_FDME210455358-1r,BH2_FDSW220017122-1r,0,0,0,0,1
NB11_FDME210455362-1b,BH2_FDSW220017122-1r,0,0,0,0,1
NB12_FDME210455363-1r,BH2_FDSW220017122-1r,0,0,0,0,1
NB15_FDME210455366-1r,BH2_FDSW220017122-1r,0,0,0,0,1
SY3_FDME210455399-2a,BH2_FDSW220017122-1r,0,0,0,0,1
SY7_FDME210455403-2a,BH2_FDSW220017122-1r,0,0,0,0,1
SY9_FDME210455405-2a,BH2_FDSW220017122-1r,0,0,0,0,1
SY11_FDME210455407-1r,BH2_FDSW220017122-1r,0,0,0,0,1
SY12_FDME210455408-1r,BH2_FDSW220017122-1r,0,0,0,0,1
SY13_FDME210455409-2a,BH2_FDSW220017122-1r,0,0,0,0,1
SY15_FDME210455411-2a,BH2_FDSW220017122-1r,0,0,0,0,1
ST1_FDME220007465-1r,BH2_FDSW220017122-1r,0,0,0,0.011478657,0.988521343
ST3_L1,BH2_FDSW220017122-1r,0,0,0,0,1
ST7_FDME220007471-1r,BH2_FDSW220017122-1r,0,0,0,0,1
ST9_L1,BH2_FDSW220017122-1r,0,0,0.5,0,0.5
ST10_L1,BH2_FDSW220017122-1r,0,0,0,0,1
ST12_L1,BH2_FDSW220017122-1r,0,0,0,0,1
ST13_L1,BH2_FDSW220017122-1r,0,0,0.5,0,0.5
ST15_L1,BH2_FDSW220017122-1r,0,0,0.5,0,0.5
WZ1_L1,BH2_FDSW220017122-1r,0,0,0,0,1
WZ3_L1,BH2_FDSW220017122-1r,0,0,0,0,1
WZ5_L1,BH2_FDSW220017122-1r,0,0,0,0,1
WZ7_FDME210455463-1r,BH2_FDSW220017122-1r,0,0,0,0,1
WZ10_L1,BH2_FDSW220017122-1r,0,0,0,0,1
WZ11_L1,BH2_FDSW220017122-1r,0,0,0,0,1
WZ14_L1,BH2_FDSW220017122-1r,0,0,0,0,1
WZ15_FDME210455471-1r,BH2_FDSW220017122-1r,0,0,0,0,1
XM2_FDME220007436-1r,BH2_FDSW220017122-1r,0,0,0,0,1
XM4_FDME220007438-1r,BH2_FDSW220017122-1r,0,0,0,0,1
XM6_FDME220007440-1r,BH2_FDSW220017122-1r,0,0,0,0,1
XM8_FDME220007442-1r,BH2_FDSW220017122-1r,0,0,0,0,1
