OUT	Tax
GD_ST_2021_04_15_bin_1_149	1
GD_ZH_2021_05_15_bin_2_75	2
GX_BH_2021_04_15_bin_1_201	3
GX_BH_2021_04_15_bin_2_73	4
GX_BH_2021_04_15_bin_3_312	5
HN_SY_2021_04_15_bin_2_19	6
HN_SY_2021_04_15_bin_6_65	7
JS_LYG_2021_05_15_bin_2_256	8
JS_LYG_2021_05_15_bin_6_92	9
JS_YC_2021_05_15_bin_1_162	10
SD_QD_2020_06_15_bin_1_178	11
SD_QD_2020_06_15_bin_28_122	12
SD_QD_2020_06_15_bin_42_268	13
SD_QD_2020_06_15_bin_46_157	14
SD_QD_2020_06_15_bin_5_254	15
SD_QD_2020_06_15_bin_8_126	16
SD_QD_2020_08_15_bin_2_274	17
SD_QD_2020_10_15_bin_4_268	18
SD_QD_2020_10_15_bin_7_9	19
SD_QD_2020_12_15_bin_3_177	20
SD_QD_2023_07_100_ultra_bin_12_167	21
SD_QD_2023_07_20_normal_bin_4_207	22
SD_QD_2023_07_40_normal_bin_12_32	23
SD_QD_2023_07_40_ultra_bin_1_231	24
SD_QD_2023_07_40_ultra_bin_10_124	25
SD_QD_2023_07_40_ultra_bin_11_213	26
SD_QD_2023_07_60_normal_bin_21_181	27
SD_QD_2023_07_60_ultra_bin_18_98	28
SD_QD_2023_07_60_ultra_bin_19_171	29
SD_QD_2023_07_60_ultra_bin_2_12	30
SD_QD_2023_07_60_ultra_bin_3_54	31
SD_QD_2023_07_80_normal_bin_3_10	32
SD_QD_2023_07_80_normal_bin_5_33	33
SD_QD_2023_07_80_ultra_bin_11_275	34
ZJ_NB_2021_05_15_bin_14_267	35
ZJ_NB_2021_05_15_bin_2_116	36
ZJ_NB_2021_05_15_bin_21_181	37
ZJ_NB_2021_05_15_bin_8_FJ_XM_2021_04_15_bin_1_296	38
ZJ_WZ_2021_05_15_bin_1_239	39
ZJ_WZ_2021_05_15_bin_12_319	40
ZJ_WZ_2021_05_15_bin_13_38	41
ZJ_WZ_2021_05_15_bin_15_97	42
ZJ_WZ_2021_05_15_bin_5_214	43
